Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
Naloong - A coleção do XiaoQi,2025-08-02T23:23:02Z,33712,589,4.527784518264025,4.527784518264025,3,FilmAnimation,76,G8b09ajbVas,2025-8-03T00:00:00Z,0.017471523493118177,8.89890840056953e-05,1,1-10 Comments,<= 1 week
"After 99 Regressions, He Got a Unique Class: Grim Reaper of the Gods! - Manhwa Recap",2025-08-02T23:20:07Z,233436,6811,5.368167832839253,5.368167832839253,455,FilmAnimation,16724,9WM-VdDzu0w,2025-8-03T00:00:00Z,0.029177162048698572,0.0019491423773539643,1,101-1000 Comments,<= 1 week
🎓(1-5) LA OBLIGAN A SEPARARSE DEL CHICO MALO | Kaoru Hana wa Rin to Saku,2025-08-02T23:18:50Z,15655,1078,4.194653071952934,4.194653071952934,48,FilmAnimation,1535,Jsw9oZncYSg,2025-8-03T00:00:00Z,0.06885978920472692,0.003066113062919195,1,11-100 Comments,<= 1 week
The Extraordinary Adventures Of Adèle Blanc-Sec | FULL MOVIE | Luc Besson | Fantasy Adventure,2025-08-02T22:30:06Z,18903,323,4.27653073433479,4.27653073433479,16,FilmAnimation,6297,Acw0MBcAKsU,2025-8-03T00:00:00Z,0.017087234830450194,0.0008464264931492356,1,11-100 Comments,<= 1 week
A quien no haya visto esta película se la RECOMIENDO |UNA CHICA BUENA | 🔥 PELÍCULA 2025,2025-08-02T22:25:14Z,423654,3237,5.627011311226147,5.627011311226147,433,FilmAnimation,10765,L4_oD9uf7JA,2025-8-03T00:00:00Z,0.007640669036525089,0.0010220604549939338,1,101-1000 Comments,<= 1 week
Alan le enseña historia a Jake? Serie dos hombres y medio #humor #comedia #series #peliculas #funny,2025-08-02T22:15:06Z,30742,1007,4.487732118229083,4.487732118229083,0,FilmAnimation,59,qmfHglmqFnM,2025-8-03T00:00:00Z,0.032756489493201486,0.0,1,No Comments,<= 1 week
He learn a lot on His Trip #foryou #shorts,2025-08-02T22:05:49Z,42911,763,4.632568635470016,4.632568635470016,5,FilmAnimation,133,IWxmRLGotfQ,2025-8-03T00:00:00Z,0.017780988557712474,0.00011652023956561255,1,1-10 Comments,<= 1 week
The battalion commander captured a cannon but didn't know how to use it.#movie #futurelink,2025-08-02T22:00:48Z,17428,385,4.241247551263716,4.241247551263716,2,FilmAnimation,61,prosZPv16W0,2025-8-03T00:00:00Z,0.022090888225843472,0.00011475786091347258,1,1-10 Comments,<= 1 week
Judith no quiere que Evelyn vea a Jake Serie dos hombres y medio #humor #comedia #series #peliculas,2025-08-02T21:30:09Z,44690,2157,4.650210354660359,4.650210354660359,4,FilmAnimation,60,up8wGh2NLpM,2025-8-03T00:00:00Z,0.048265831282166036,8.950548221078541e-05,1,1-10 Comments,<= 1 week
RUBY'S CHOICE | A Granddaughter’s Heart Opens When She Least Expects It | Full Movie,2025-08-02T19:15:00Z,8677,92,3.9383695974518065,3.9383695974518065,4,FilmAnimation,6996,0mjAAEjJupg,2025-8-03T00:00:00Z,0.010602742883485075,0.00046098882102109026,1,1-10 Comments,<= 1 week
AO LIMPAR A GARRAFA ELA LIBERTA O GÊNIO DA LÂMPADA. #filmes #recapfilm #movie,2025-08-02T19:10:00Z,38709,860,4.587811951993417,4.587811951993417,1,FilmAnimation,61,RJEpkev6F1c,2025-8-03T00:00:00Z,0.022217055465137307,2.5833785424578262e-05,1,1-10 Comments,<= 1 week
Why Are Humans So Fragile? – A Marvel Theory 😐 #marvel  #avengers #loki,2025-08-02T19:05:29Z,4044963,111448,6.606914553397161,6.606914553397161,441,FilmAnimation,25,TJ0K9vzTwkU,2025-8-03T00:00:00Z,0.027552291578439653,0.0001090244830422429,1,101-1000 Comments,<= 1 week
A story that touches the soul | LAKE EFFECTS | Full movie in English,2025-08-02T19:00:49Z,22726,141,4.356523002341826,4.356523002341826,11,FilmAnimation,5733,y1fvZwcIHCI,2025-8-03T00:00:00Z,0.006204347443456834,0.000484027105517909,1,11-100 Comments,<= 1 week
"After a crushing accident, her husband slips away, but she never stops believing | Full Movie",2025-08-02T19:00:30Z,86173,800,4.935371212601676,4.935371212601676,54,FilmAnimation,5516,JrYbl6N86qw,2025-8-03T00:00:00Z,0.009283650331310272,0.0006266463973634433,1,11-100 Comments,<= 1 week
MATARON A SU HERMANO… y ahora él viene por todos 🎬 Mejor Película del Oeste,2025-08-02T18:58:19Z,18060,91,4.256717745977487,4.256717745977487,3,FilmAnimation,5467,uzdI08NtyTI,2025-8-03T00:00:00Z,0.0050387596899224806,0.00016611295681063124,1,1-10 Comments,<= 1 week
AUTÉNTICO WESTERN de alto nivel |💰El oro robado enloquece a un pueblo entero | Película en Español,2025-08-02T18:50:50Z,26716,74,4.4267714347926965,4.4267714347926965,0,FilmAnimation,6988,iGmxiDUjCcQ,2025-8-03T00:00:00Z,0.0027698757298996856,0.0,1,No Comments,<= 1 week
"FAMILY TRIED to start a new life in a suburban home, but terrifying events changed everything",2025-08-02T18:31:04Z,96789,745,4.98582600285844,4.98582600285844,71,FilmAnimation,5932,2cUOgax8EAw,2025-8-03T00:00:00Z,0.0076971556685160505,0.0007335544328384424,1,11-100 Comments,<= 1 week
"You have to see it, it's a great crime story! Road of No Return | Best Full Action Movie in English",2025-08-02T18:24:51Z,9913,61,3.9962051061783246,3.9962051061783246,5,FilmAnimation,5428,Y1FP-Z6pwT0,2025-8-03T00:00:00Z,0.006153535761121759,0.0005043881771411278,1,1-10 Comments,<= 1 week
GIRL ACCIDENTALLY DISCOVERS her late mother left her a fortune that could change her life completely,2025-08-02T18:09:29Z,63816,394,4.804929579043173,4.804929579043173,19,FilmAnimation,5812,ROeCCJwvaTs,2025-8-03T00:00:00Z,0.006174000250720822,0.00029773097655760313,1,11-100 Comments,<= 1 week
A Sniper Ambushed Them | SNIPER RELOADED,2025-08-02T17:57:00Z,10634,39,4.02669665597816,4.02669665597816,2,FilmAnimation,491,2bN1bInJRjc,2025-8-03T00:00:00Z,0.003667481662591687,0.0001880759826970096,1,1-10 Comments,<= 1 week
FAMILIA SE MUDA a una casa antigua y se enfrentan a fenómenos inexplicables y aterradores,2025-08-02T17:51:46Z,5501,51,3.740441644949766,3.740441644949766,1,FilmAnimation,6286,QsV5mcZhTio,2025-8-03T00:00:00Z,0.009271041628794765,0.00018178512997636792,1,1-10 Comments,<= 1 week
Ele salvou a ex-mulher e deixou a filha morrer… mas um segredo pode mudar tudo no funeral!,2025-08-02T17:30:09Z,8318,89,3.9200189160289147,3.9200189160289147,10,FilmAnimation,2468,IWgUQvMuhWI,2025-8-03T00:00:00Z,0.010699687424861746,0.0012022120702091848,1,1-10 Comments,<= 1 week
Nothing like a spooky story to hook you in for #NationalCampfireDay. 🔥 #IKnowWhatYouDidLastSummer,2025-08-02T17:00:31Z,1770,15,3.247973266361807,3.247973266361807,0,FilmAnimation,96,Fw9i1dsisVA,2025-8-03T00:00:00Z,0.00847457627118644,0.0,1,No Comments,<= 1 week
Marie Makes A Big Mistake - Wentworth Season 8 Episode 4,2025-08-02T17:00:05Z,2727,45,3.43568513794163,3.43568513794163,7,FilmAnimation,668,1hiWeE45eWM,2025-8-03T00:00:00Z,0.0165016501650165,0.002566923359002567,1,1-10 Comments,<= 1 week
Man On A String (ft. Ernest Borgnine) | 1960 Full Movie | Silver Scenes,2025-08-02T17:00:43Z,5885,100,3.7697464671794534,3.7697464671794534,3,FilmAnimation,5562,ZN8IIWsVE8M,2025-8-03T00:00:00Z,0.016992353440951572,0.0005097706032285472,1,1-10 Comments,<= 1 week
"¡Marido y amante quitan soporte vital a esposa,sin saber hija lo vio y vuelve millonaria a vengarse!",2025-08-02T17:00:10Z,20436,516,4.310395894010226,4.310395894010226,13,FilmAnimation,7084,8KwngyhlzlA,2025-8-03T00:00:00Z,0.02524955960070464,0.0006361323155216285,1,11-100 Comments,<= 1 week
La escena de la entrevista a Kim Jong-Un | Una loca entrevista | Clip en Español,2025-08-02T17:00:28Z,6874,110,3.8372095278012064,3.8372095278012064,12,FilmAnimation,429,PH1VYFcuD9o,2025-8-03T00:00:00Z,0.016002327611288916,0.0017457084666860634,1,11-100 Comments,<= 1 week
Everything Happened In A Year! #miraculous,2025-08-02T16:40:40Z,56987,2509,4.755775794756962,4.755775794756962,85,FilmAnimation,52,8eoXdS0_Qq8,2025-8-03T00:00:00Z,0.04402758523873866,0.001491568252408444,1,11-100 Comments,<= 1 week
A Blockbuster Action Movie You Must Watch! Former Gangster Encounters Bounty Hunters,2025-08-02T16:24:52Z,2722,27,3.434888120867316,3.434888120867316,2,FilmAnimation,4926,UAMnKlkTSm4,2025-8-03T00:00:00Z,0.009919177075679648,0.0007347538574577516,1,1-10 Comments,<= 1 week
43 évesen ragadta el a halál... John Candy tragédiája 💔 #JohnCandy #Tragédia #magyarshorts,2025-08-02T16:21:15Z,61527,1571,4.789065739804283,4.789065739804283,26,FilmAnimation,61,5FSmrvDTNkg,2025-8-03T00:00:00Z,0.025533505615420872,0.0004225787052838591,1,11-100 Comments,<= 1 week
Mexeu Com a Mãe Errada... e Levou o Troco na Hora! 😮🎥Série: Devious Maids,2025-08-02T16:00:52Z,339173,17262,5.5304212727777085,5.5304212727777085,134,FilmAnimation,60,Y-9z-ET3uXg,2025-8-03T00:00:00Z,0.050894381333419815,0.00039507861769657373,1,101-1000 Comments,<= 1 week
"😲🪞 ¿Sabías que en Cómo Entrenar a tu Dragón, la apariencia de Astrid refleja su personalidad? 💪🏼🐉",2025-08-02T16:00:42Z,57669,4249,4.7609424206627216,4.7609424206627216,10,FilmAnimation,41,OsKK0lRSw-E,2025-8-03T00:00:00Z,0.07367909968960794,0.00017340338830220742,1,1-10 Comments,<= 1 week
"Uma esposa o traiu e fugiu para amante com a filha, porém anos depois reencontraram o marido!!",2025-08-02T16:01:02Z,5502,402,3.7405205860536648,3.7405205860536648,78,FilmAnimation,1271,b_hcuIormy8,2025-8-03T00:00:00Z,0.07306434023991276,0.014176663031624863,1,11-100 Comments,<= 1 week
He Returned to the Past to Master Cultivation—A Regressor’s Tale! | Manhwa Recap 3,2025-08-02T15:41:14Z,7384,473,3.8682916880178557,3.8682916880178557,18,FilmAnimation,5324,u1dPgL3HCMo,2025-8-03T00:00:00Z,0.06405742145178765,0.002437703141928494,1,11-100 Comments,<= 1 week
That’s a nice ride #therookie,2025-08-02T15:33:48Z,1182,44,3.0726174765452368,3.0726174765452368,0,FilmAnimation,21,GP9o6mA-pRs,2025-8-03T00:00:00Z,0.03722504230118443,0.0,1,No Comments,<= 1 week
"Husband forced me to divorce for mistress, so I married a CEO who loved me for 10 years! He crazy!",2025-08-02T15:30:18Z,23094,345,4.363499161478234,4.363499161478234,6,FilmAnimation,7363,XUlOnVYIGRY,2025-8-03T00:00:00Z,0.014938945180566382,0.0002598077422707197,1,1-10 Comments,<= 1 week
El hombre llevó a su hija a la boda de su exesposa #shorts #kdrama #wedding,2025-08-02T15:24:28Z,46709,2253,4.669400569511486,4.669400569511486,4,FilmAnimation,116,6fL-7hnOM0M,2025-8-03T00:00:00Z,0.04823481556017042,8.563660108330301e-05,1,1-10 Comments,<= 1 week
She Acted Like a Delinquent but Deep Down She Just Wanted His Attention,2025-08-02T15:01:31Z,210348,16144,5.322938387077555,5.322938387077555,62,FilmAnimation,58,uFaK3i1lKQY,2025-8-03T00:00:00Z,0.07674900640842794,0.0002947496529560538,1,11-100 Comments,<= 1 week
"Silver and Kreese Die in a Yacht Explosion | Cobra Kai (Thomas Ian Griffith, Martin Kove)",2025-08-02T15:01:32Z,52636,661,4.721282878251546,4.721282878251546,188,FilmAnimation,254,unq-rtjaB1M,2025-8-03T00:00:00Z,0.01255794513260886,0.003571699977201915,1,101-1000 Comments,<= 1 week
