Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
A son becomes the best gunman to avenge his parents | Best Action Movie,2025-08-07T18:00:26Z,173691,843,5.239777315559356,5.239777315559356,17,FilmAnimation,4691,5G_1pfNeQIE,2025-8-08T00:00:00Z,0.00485344663799506,9.787496185755163e-05,1,11-100 Comments,<= 1 week
A must-watch for fans of science fiction! | ALIEN SNIPERESS | Watch online,2025-08-07T18:00:15Z,8498,81,3.9293167267534956,3.9293167267534956,3,FilmAnimation,5693,E2NwBlRGzAA,2025-8-08T00:00:00Z,0.00953165450694281,0.0003530242409978819,1,1-10 Comments,<= 1 week
"Egy PARAZITÁT ültet a testébe, hogy modell lehessen, de nem lesz jó vége...",2025-08-07T17:53:48Z,20270,587,4.306853748693008,4.306853748693008,18,FilmAnimation,608,dLzqbSd2sCo,2025-8-08T00:00:00Z,0.028959052787370498,0.0008880118401578688,1,11-100 Comments,<= 1 week
Experimentul care a scăpat de sub control - ZOMBIUL #film #shorts,2025-08-07T17:50:00Z,33262,1245,4.521948359220534,4.521948359220534,0,FilmAnimation,55,Sa7V5Stuj5w,2025-8-08T00:00:00Z,0.03743010041488786,0.0,1,No Comments,<= 1 week
"""Cause there ain't no sleeping at a slumber party!""  💤🎵 PhineasAndFerb DisneyChannelAnimation",2025-08-07T17:45:01Z,23916,733,4.378688544748113,4.378688544748113,0,FilmAnimation,29,2cQ5eVeMRyg,2025-8-08T00:00:00Z,0.03064893794948988,0.0,1,No Comments,<= 1 week
Una Cazafortunas Se Cubrió De Oro Para Engañar A Un Millonario,2025-08-07T17:30:05Z,22404,654,4.350325563996703,4.350325563996703,37,FilmAnimation,740,LvNjHzDPk0g,2025-8-08T00:00:00Z,0.02919121585431173,0.0016514908052133548,1,11-100 Comments,<= 1 week
Sessão da Tarde - Tomb Raider: A Origem (Quinta 07/08/2025) Sinopse Completa,2025-08-07T17:30:01Z,1575,21,3.197280558125619,3.197280558125619,0,FilmAnimation,90,1Sm19-tPMMs,2025-8-08T00:00:00Z,0.013333333333333334,0.0,1,No Comments,<= 1 week
Can a Childhood Photo Change Your Life?,2025-08-07T17:15:01Z,25644,620,4.408985768211695,4.408985768211695,22,FilmAnimation,51,M9Vp5ixqQUY,2025-8-08T00:00:00Z,0.024177195445328342,0.0008579004835439089,1,11-100 Comments,<= 1 week
Soldado revela a verdade nesse final. #shorts #filmes #dicasdefilmes #filmesnovos,2025-08-07T16:42:45Z,882146,34813,5.945540469198674,5.945540469198674,37,FilmAnimation,93,uhve3g4j7dU,2025-8-08T00:00:00Z,0.03946398895420939,4.194317040489896e-05,1,11-100 Comments,<= 1 week
［多啦A夢 粵語版] 忠心機械犬,2025-08-07T16:26:07Z,1292,13,3.1112625136590655,3.1112625136590655,0,FilmAnimation,1272,ieu6b1Sm0cY,2025-8-08T00:00:00Z,0.010061919504643963,0.0,1,No Comments,<= 1 week
🎬 Xena: Warrior Princess S1E8 – “She Fights a Giant Bird in the Sky!” | Airborne Showdown 🦅⚔️💥,2025-08-07T16:06:41Z,195140,1683,5.290346300653932,5.290346300653932,23,FilmAnimation,54,kv54azJ0TP4,2025-8-08T00:00:00Z,0.008624577226606539,0.00011786409757097469,1,11-100 Comments,<= 1 week
Zero Confronts a Deadly Sniper | SNIPER: ROGUE MISSION | Action Scene,2025-08-07T16:01:42Z,5142,54,3.711132072306842,3.711132072306842,0,FilmAnimation,521,utHBLaRGL0w,2025-8-08T00:00:00Z,0.010501750291715286,0.0,1,No Comments,<= 1 week
Patrulha Canina | Rubble Pirata e a Patrulha Canina Salvam Animais Marinhos! | Nick Jr. em Português,2025-08-07T16:00:17Z,83667,250,4.922554197014829,4.922554197014829,0,FilmAnimation,3540,AX6_HG7A6g0,2025-8-08T00:00:00Z,0.0029880359042394255,0.0,1,No Comments,<= 1 week
Jesteś Dawcą czy Biorcą? Dawaj i bierz - Adam Grant,2025-08-07T16:00:06Z,700,66,2.845098040014257,2.845098040014257,7,FilmAnimation,407,RB6mJAFWUY0,2025-8-08T00:00:00Z,0.09428571428571429,0.01,1,1-10 Comments,<= 1 week
A quien no haya visto esta película se la RECOMIENDO | ESPOSA PERFECTA,2025-08-07T15:59:25Z,107933,781,5.033154248452626,5.033154248452626,50,FilmAnimation,11441,22i8iJx6Hq4,2025-8-08T00:00:00Z,0.0072359704631577,0.00046325034975401407,1,11-100 Comments,<= 1 week
A romantic surprise 💝 | Vendetta English Subtitled | Kan Cicekleri,2025-08-07T16:00:05Z,10748,170,4.031327657761131,4.031327657761131,5,FilmAnimation,568,aoUHmvoapKE,2025-8-08T00:00:00Z,0.015816896166728694,0.0004652028284331969,1,1-10 Comments,<= 1 week
White Cat's winter melon sales are a comeback! A convertible makes Black Cat and his son cry#shorts,2025-08-07T16:00:43Z,45562,1119,4.658602779715658,4.658602779715658,2,FilmAnimation,57,OAUPS3b08pE,2025-8-08T00:00:00Z,0.02455994030112813,4.3896229313901934e-05,1,1-10 Comments,<= 1 week
THE PAPER Trailer (2025) THE OFFICE Nova Série,2025-08-07T15:29:53Z,9462,363,3.9759829437125465,3.9759829437125465,27,FilmAnimation,127,T8RPa9_axLU,2025-8-08T00:00:00Z,0.03836398224476855,0.0028535193405199747,1,11-100 Comments,<= 1 week
💔 Ela PERDE A FAMÍLIA em um trágico acidente | CRIANÇA DESAPARECIDA | Filme completo dublado,2025-08-07T15:00:48Z,97705,1067,4.989916789070325,4.989916789070325,53,FilmAnimation,5367,QfVV2L3NhMA,2025-8-08T00:00:00Z,0.010920628422291592,0.0005424492093546901,1,11-100 Comments,<= 1 week
The Runarounds – Official Trailer | Prime Video,2025-08-07T14:59:58Z,3567384,2178,6.552349860138762,6.552349860138762,90,FilmAnimation,141,-CWi5_hU_-o,2025-8-08T00:00:00Z,0.0006105314146164248,2.522857085191838e-05,1,11-100 Comments,<= 1 week
Аюлар байырлаган токойдо жалгыз калган 4 жашар кыз...#Санчобекканал#кыргызча#кино,2025-08-07T14:41:02Z,54041,2492,4.732723376813052,4.732723376813052,187,FilmAnimation,707,AS7cc5LOulg,2025-8-08T00:00:00Z,0.046113136322421866,0.003460335671064562,1,101-1000 Comments,<= 1 week
"Billionaire CEO was forced by his grandpa to marry a bold, plain girl, then deeply fell for her!",2025-08-07T14:30:00Z,172047,1863,5.235647104188539,5.235647104188539,96,FilmAnimation,12147,a92P1h7dkmo,2025-8-08T00:00:00Z,0.010828436415630612,0.0005579870616750075,1,11-100 Comments,<= 1 week
Querida Viola | Lo Ayudó A Enamorarse… Pero de Otra Mujer 💔 Peliculas Completas en Español Latino,2025-08-07T14:30:33Z,129953,1121,5.113786309757823,5.113786309757823,46,FilmAnimation,4906,d286TlobjHk,2025-8-08T00:00:00Z,0.00862619562457196,0.00035397412910821604,1,11-100 Comments,<= 1 week
Dealing with Mikadono Sisters Is a Breeze Episode 6 Explained in Hindi,2025-08-07T14:02:41Z,63040,3704,4.799616204481499,4.799616204481499,140,FilmAnimation,784,BiuJvWD0Q1s,2025-8-08T00:00:00Z,0.058756345177664974,0.002220812182741117,1,101-1000 Comments,<= 1 week
Husband's Love 2025 | A Thriller Movies 2025 New Releases | Based On True Story 2025,2025-08-07T14:00:06Z,13785,83,4.139406770441792,4.139406770441792,3,FilmAnimation,4464,x-3znzbh5CI,2025-8-08T00:00:00Z,0.0060210373594486765,0.0002176278563656148,1,1-10 Comments,<= 1 week
"Não Escolha A Mamãe Errada! Mamãe, Onde Você Está?",2025-08-07T14:00:39Z,194022,1809,5.287850977027618,5.287850977027618,14,FilmAnimation,859,MK7pvqveJE4,2025-8-08T00:00:00Z,0.009323684942944615,7.21567657275979e-05,1,11-100 Comments,<= 1 week
Fabricação da Estrutura do DUPLO A | BOXER DAY 2025,2025-08-07T23:15:03Z,9774,1966,3.990072334692153,3.990072334692153,79,AutosVehicles,3153,czGU1kkWcbc,2025-8-08T00:00:00Z,0.20114589727849397,0.008082668303662778,1,11-100 Comments,<= 1 week
BOTAS BOTINES Y CALSADO PARA EL TRABAJO RUDO A los mejores precios del mercado ,2025-08-07T23:08:24Z,8208,149,3.9142373477677412,3.9142373477677412,9,AutosVehicles,2171,ITdDc-pLClE,2025-8-08T00:00:00Z,0.018153021442495126,0.0010964912280701754,1,1-10 Comments,<= 1 week
Should You Buy a 2025 Ford Expedition? Thorough Review By A Mechanic,2025-08-07T23:00:24Z,47920,2584,4.680516809381255,4.680516809381255,477,AutosVehicles,1737,CSFhI8lIiwE,2025-8-08T00:00:00Z,0.05392320534223706,0.009954090150250417,1,101-1000 Comments,<= 1 week
O PIOR PODERIA TER ACONTECIDO COM A LUNA E O HEITOR…,2025-08-07T22:30:11Z,172894,6740,5.237779922064522,5.237779922064522,155,AutosVehicles,809,NmIK7LlwmXI,2025-8-08T00:00:00Z,0.038983423369232016,0.0008965030596781844,1,101-1000 Comments,<= 1 week
Bentley made a 'rotating display' dashboard #automobile #sportscar #cartok,2025-08-07T22:15:07Z,159145,830,5.2017929985553835,5.2017929985553835,19,AutosVehicles,6,ulT9aoT-5SU,2025-8-08T00:00:00Z,0.005215369631468158,0.00011938797951553615,1,11-100 Comments,<= 1 week
Restoring a ‘69 BMW 2002 Dash,2025-08-07T22:13:41Z,23594,404,4.372801575080737,4.372801575080737,7,AutosVehicles,18,4Cupv6eWxpk,2025-8-08T00:00:00Z,0.017122997372213275,0.00029668559803339834,1,1-10 Comments,<= 1 week
"TIRAR CARTEIRA VAI FICAR MAIS BARATO, MAS E A FORMAÇÃO DO MOTORISTA?",2025-08-07T22:00:11Z,1669,331,3.222456336679247,3.222456336679247,17,AutosVehicles,190,9RGQw6lONjU,2025-8-08T00:00:00Z,0.1983223487118035,0.01018573996405033,1,11-100 Comments,<= 1 week
Comprei a moto sem entrada 😬 #motovlog #motorcycle #automobile,2025-08-07T21:59:04Z,11628,341,4.06550502309839,4.06550502309839,3,AutosVehicles,16,svHhGRJKugI,2025-8-08T00:00:00Z,0.029325765393876848,0.00025799793601651185,1,1-10 Comments,<= 1 week
How a 25¢ Part Cost This Guy THOUSANDS!,2025-08-07T21:45:15Z,159581,7649,5.202981182212946,5.202981182212946,741,AutosVehicles,1767,cN_OZhuLeJo,2025-8-08T00:00:00Z,0.04793177132616038,0.004643409929753542,1,101-1000 Comments,<= 1 week
ELE MODIFICOU UM QUADRICICLO 🤯😲,2025-08-07T21:30:02Z,23386,831,4.368955945345503,4.368955945345503,1,AutosVehicles,17,IllHC4SJ3As,2025-8-08T00:00:00Z,0.03553408021893441,4.276062601556487e-05,1,1-10 Comments,<= 1 week
How to properly use tire warmers on a sport bike,2025-08-07T21:27:26Z,22084,844,4.3440777384681,4.3440777384681,13,AutosVehicles,72,M1Y-Kcq9E3c,2025-8-08T00:00:00Z,0.03821771418221337,0.000588661474370585,1,11-100 Comments,<= 1 week
"MONTAMOS MEU JETTA EM 12H , SUSPENSÃO A AR E ARO 20 🔥",2025-08-07T21:16:00Z,17260,1137,4.237040791379191,4.237040791379191,33,AutosVehicles,1322,OLVeQb5DrSA,2025-8-08T00:00:00Z,0.06587485515643106,0.0019119351100811124,1,11-100 Comments,<= 1 week
"NOVO ChatGPT 5 liberado! Como usar a IA Chat GPT 5 grátis, a inteligência artificial mais avançada",2025-08-07T21:01:23Z,12121,432,4.083538451230139,4.083538451230139,61,AutosVehicles,606,DipgnUUIgU0,2025-8-08T00:00:00Z,0.03564062371091494,0.0050325880702912305,1,11-100 Comments,<= 1 week
Other Shop States - You Need A New ABS Module,2025-08-07T21:00:47Z,113758,15406,5.055981948042871,5.055981948042871,617,AutosVehicles,1266,ZE7p4UA8DRY,2025-8-08T00:00:00Z,0.13542783804215966,0.005423794370505811,1,101-1000 Comments,<= 1 week
Tirar ou não tirar a calota? 🤔,2025-08-07T20:55:00Z,25556,1785,4.4074928794601025,4.4074928794601025,22,AutosVehicles,90,BcJR9Jyb9zM,2025-8-08T00:00:00Z,0.06984661136328064,0.0008608545938331507,1,11-100 Comments,<= 1 week
Walking A Jeep Lot Checking Out All The Wranglers And Gladiators,2025-08-07T20:52:10Z,4875,243,3.687974620034556,3.687974620034556,61,AutosVehicles,847,d51cqDLU9Ug,2025-8-08T00:00:00Z,0.049846153846153846,0.012512820512820513,1,11-100 Comments,<= 1 week
KAREN GETS A *BIG* WAKE UP CALL AFTER CAUSING A CRASH,2025-08-07T19:07:04Z,74335,3940,4.871193345763772,4.871193345763772,824,AutosVehicles,493,ozoujVJd9ew,2025-8-08T00:00:00Z,0.053003295890226676,0.011084953252169233,1,101-1000 Comments,<= 1 week
Why I Drive a Mercedes SLS AMG GT Final Edition ,2025-08-07T19:00:54Z,6149,322,3.7888044930446485,3.7888044930446485,47,AutosVehicles,715,xzgOh0IjhyA,2025-8-08T00:00:00Z,0.05236623841275004,0.007643519271426248,1,11-100 Comments,<= 1 week
What’s your favorite part on a car? Comment it below ⬇️ ,2025-08-07T18:58:11Z,1903,17,3.2794387882870204,3.2794387882870204,0,AutosVehicles,15,_1hDn8Ayg90,2025-8-08T00:00:00Z,0.008933263268523384,0.0,1,No Comments,<= 1 week
OH MY GOD 😳😳😳😳😳😳 WHAT A TRUCK,2025-08-07T18:33:08Z,23771,796,4.376047452041466,4.376047452041466,16,AutosVehicles,36,rOlcCVPtT9w,2025-8-08T00:00:00Z,0.03348618064027597,0.0006730890580959993,1,11-100 Comments,<= 1 week
DEVIAS TE JUNTAR A UM MOTOCLUBE | FARIA DIAS,2025-08-07T18:22:53Z,6512,534,3.813714391881145,3.813714391881145,40,AutosVehicles,1526,284yxxn49CM,2025-8-08T00:00:00Z,0.08200245700245701,0.006142506142506142,1,11-100 Comments,<= 1 week
Это уже РУИНА на колёсах...,2025-08-07T18:00:19Z,7733,24,3.888348010178049,3.888348010178049,2,AutosVehicles,22,FWf0ttZnK8s,2025-8-08T00:00:00Z,0.003103582050950472,0.000258631837579206,1,1-10 Comments,<= 1 week
RIAT 2025: BEST OF . . . EVERYTHING - A FULL RECAP 4K (airshowvision),2025-08-07T18:00:26Z,2292,47,3.3602146132953523,3.3602146132953523,2,AutosVehicles,10612,XIMVRhsxGwA,2025-8-08T00:00:00Z,0.02050610820244328,0.0008726003490401396,1,1-10 Comments,<= 1 week
COMMENT NETTOYER UNE MOTO COMME UN PRO ...!,2025-08-07T18:00:00Z,7399,541,3.869173027321683,3.869173027321683,49,AutosVehicles,1486,lU-Z39FIN3c,2025-8-08T00:00:00Z,0.07311798891742127,0.006622516556291391,1,11-100 Comments,<= 1 week
2008 Machine Silver C6 Z06 a GREAT BUY at Corvette World!,2025-08-07T17:57:28Z,6650,290,3.8228216453031045,3.8228216453031045,27,AutosVehicles,394,fjHn04XANRo,2025-8-08T00:00:00Z,0.04360902255639098,0.00406015037593985,1,11-100 Comments,<= 1 week
FD Moments - Hiroya & Shinji Minowa Put on a Show for the Ages,2025-08-07T17:49:48Z,4974,175,3.696705780933917,3.696705780933917,7,AutosVehicles,92,PxysFGgR8Os,2025-8-08T00:00:00Z,0.03518295134700442,0.0014073180538801769,1,1-10 Comments,<= 1 week
sneaking in a microwave for popcorn at the theater 📽️ 🤤🍿,2025-08-07T17:30:02Z,2263,31,3.3546845539547285,3.3546845539547285,4,AutosVehicles,47,78vvbZyLMpI,2025-8-08T00:00:00Z,0.0136986301369863,0.0017675651789659744,1,1-10 Comments,<= 1 week
Shopping for bargains at a Part Exchange Yard! ,2025-08-07T17:14:47Z,22383,1403,4.349918294709261,4.349918294709261,64,AutosVehicles,1333,5ORwM91HQas,2025-8-08T00:00:00Z,0.06268149935218693,0.0028593128713755977,1,11-100 Comments,<= 1 week
He Forgot He’s a Baby #shorts #baby,2025-08-07T17:11:33Z,20767,236,4.317373762902532,4.317373762902532,2,AutosVehicles,19,zav971WGCCU,2025-8-08T00:00:00Z,0.011364183560456494,9.630664034285164e-05,1,1-10 Comments,<= 1 week
A bala de 2 tempos que humilhou as superbikes 🏁🔥 | Honda NSR250,2025-08-07T17:00:32Z,2475,165,3.3935752032695876,3.3935752032695876,4,AutosVehicles,791,EuJ8ofq-PD0,2025-8-08T00:00:00Z,0.06666666666666667,0.0016161616161616162,1,1-10 Comments,<= 1 week
A 42 Year Love Affair: The One Owner 1983 Golf GTI is a True Petrolhead Hero Car,2025-08-07T17:00:04Z,21065,1793,4.323561463462867,4.323561463462867,182,AutosVehicles,950,3_yxUJCMRXw,2025-8-08T00:00:00Z,0.08511749347258486,0.008639924044623784,1,101-1000 Comments,<= 1 week
"Big Race, Big Engine! Motor Swap at Florence Speedway for the North South 100!",2025-08-07T17:00:29Z,33768,2557,4.528505339146352,4.528505339146352,97,AutosVehicles,1217,Fw1LSuYmOs8,2025-8-08T00:00:00Z,0.07572257758824923,0.002872542051646529,1,11-100 Comments,<= 1 week
Slick Kenworth W900 chilling in the A/C at MATS,2025-08-07T16:45:01Z,1498,39,3.1755118133634475,3.1755118133634475,0,AutosVehicles,17,-8rqmMaWTeQ,2025-8-08T00:00:00Z,0.0260347129506008,0.0,1,No Comments,<= 1 week
"How I made £4,000 in 4 HOURS flipping a crash damaged Mercedes Benz",2025-08-07T16:42:10Z,60689,1996,4.783109981483548,4.783109981483548,100,AutosVehicles,1197,GJ75zEKYXSs,2025-8-08T00:00:00Z,0.03288899141524823,0.00164774506088418,1,11-100 Comments,<= 1 week
Pakistan Railways: From Collapse to Comeback | A Journey of Change | Ep-508 @naumanmaqsoodahmed,2025-08-07T16:30:06Z,4726,76,3.6744937172963503,3.6744937172963503,26,AutosVehicles,867,r5wXTpXjrFY,2025-8-08T00:00:00Z,0.01608125264494287,0.005501481168006771,1,11-100 Comments,<= 1 week
We Put $1000 Parts on a Walmart Bike,2025-08-07T16:10:19Z,340916,25138,5.5326473841818045,5.5326473841818045,2025,AutosVehicles,1661,4MBtrq-N56k,2025-8-08T00:00:00Z,0.07373663893745087,0.005939879618439733,1,1001+ Comments,<= 1 week
That's A Long Drive In A Classic Mini! The 1275 GTS Only Just Makes It Home.,2025-08-07T16:07:04Z,4694,454,3.6715430852625737,3.6715430852625737,53,AutosVehicles,505,0VgQWEBi1zs,2025-8-08T00:00:00Z,0.09671921602045164,0.011291009799744355,1,11-100 Comments,<= 1 week
"All-new XPENG P7 exterior and interior static appreciation, a sedan with a futuristic design",2025-08-07T15:59:49Z,8414,193,3.9250025076809774,3.9250025076809774,18,AutosVehicles,524,BFB5UjFNPJY,2025-8-08T00:00:00Z,0.022937960541953885,0.0021392916567625386,1,11-100 Comments,<= 1 week
Zohran and Katie Wilson are a sign of what is now possible in America,2025-08-07T15:46:34Z,8444,1724,3.926548224635619,3.926548224635619,60,AutosVehicles,180,3FEt_jxDZKM,2025-8-08T00:00:00Z,0.20416864045476077,0.0071056371387967785,1,11-100 Comments,<= 1 week
Crossover 700 made in China: le rivali della Benelli TRK 702 a confronto,2025-08-07T15:35:30Z,19567,322,4.291524245008066,4.291524245008066,59,AutosVehicles,1927,sNGlZmBML94,2025-8-08T00:00:00Z,0.016456278427965453,0.003015280829968825,1,11-100 Comments,<= 1 week
You Can't Call Yourself a Driver If You DON'T Know These Secrets,2025-08-07T15:19:07Z,4249,140,3.6282867310895144,3.6282867310895144,10,AutosVehicles,1225,2hIjoBSK5B0,2025-8-08T00:00:00Z,0.032948929159802305,0.002353494939985879,1,1-10 Comments,<= 1 week
"⚠️ Si vas a comprar SUV en 2026, MIRA ESTO PRIMERO: Los 6 mejores por tu dinero 💎",2025-08-07T15:14:33Z,7257,80,3.8607571230815423,3.8607571230815423,0,AutosVehicles,61,Yq_g5S7Uh6Q,2025-8-08T00:00:00Z,0.01102383905194984,0.0,1,No Comments,<= 1 week
Dolmahako On'a Joton Ka'engaha ine Agangipa Kattako Employeesrang Rachakna Man'ja.,2025-08-07T15:14:32Z,11567,353,4.063220735581995,4.063220735581995,61,AutosVehicles,890,b0iiRuFLkwE,2025-8-08T00:00:00Z,0.030517852511455,0.005273623238523386,1,11-100 Comments,<= 1 week
⚠️ 4 PICKUPS que HUMILLAN a la competencia en 2025 💥,2025-08-07T15:12:41Z,6247,85,3.7956715059460215,3.7956715059460215,0,AutosVehicles,61,wW_84pyn3QQ,2025-8-08T00:00:00Z,0.013606531134944774,0.0,1,No Comments,<= 1 week
Taxatie nette Mercedes GLC 300e,2025-08-07T15:00:45Z,44108,413,4.644517365902283,4.644517365902283,76,AutosVehicles,537,OYZCFD6kF2s,2025-8-08T00:00:00Z,0.009363380792599981,0.001723043438831958,1,11-100 Comments,<= 1 week
A PISTA DA NASCAR  É INCLINADA🤔🤯,2025-08-07T14:30:51Z,30504,1379,4.484356792265614,4.484356792265614,6,AutosVehicles,18,y30yADV7xLo,2025-8-08T00:00:00Z,0.04520718594282717,0.0001966955153422502,1,1-10 Comments,<= 1 week
Cel mai bun mod de a te racorii vara,2025-08-07T14:03:26Z,21995,374,4.342323966312882,4.342323966312882,0,AutosVehicles,58,_eaaA_SwHmk,2025-8-08T00:00:00Z,0.017003864514662424,0.0,1,No Comments,<= 1 week
