Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
sorry guys for not posting of a long time i am just tried,2024-08-05T20:43:20Z,524,11,2.7193312869837265,2.7193312869837265,1,FilmAnimation,8,FZgcrAAbeqI,2024-8-07T00:00:00Z,0.02099236641221374,0.0019083969465648854,366,1-10 Comments,<= 2 years
Sam Witwer Talks About The Obi-Wan Kenobi Show,2024-08-03T14:12:47Z,1142947,56517,6.058026092039016,6.058026092039016,1279,FilmAnimation,58,E-NFRqx0vnQ,2024-8-07T00:00:00Z,0.049448487112700765,0.0011190370157146395,368,1001+ Comments,<= 2 years
A oto zasady 🎀 #Shorts #mashaandthebear #JakaMatkaTakaCórka,2024-08-02T07:00:28Z,781736,7444,5.893060112265863,5.893060112265863,0,FilmAnimation,11,nQTv9VMkMhU,2024-8-07T00:00:00Z,0.009522396307704902,0.0,369,No Comments,<= 2 years
me and Daniel during a 1V1,2024-07-31T19:14:08Z,10,1,1.0,1.0,0,FilmAnimation,11,-f5_a-RHFvY,2024-8-07T00:00:00Z,0.1,0.0,371,No Comments,<= 2 years
A fight broke out during a screening of Deadpool and Wolverine.,2024-07-31T19:13:06Z,32,2,1.505149978319906,1.505149978319906,0,FilmAnimation,21,oImYTkJboKY,2024-8-07T00:00:00Z,0.0625,0.0,371,No Comments,<= 2 years
George Lucas On How The Lightsaber Effect Was Created,2024-07-27T13:35:00Z,868805,23366,5.938922311630316,5.938922311630316,347,FilmAnimation,52,TmaQPcfeZWY,2024-8-07T00:00:00Z,0.026894412440075736,0.0003993991747285064,375,101-1000 Comments,<= 2 years
A Stands For Arson 😳 (Animation Meme) #shorts,2024-07-23T19:00:11Z,7546949,411950,6.877771415170487,6.877771415170487,3320,FilmAnimation,19,OGRmBIOlEvc,2024-8-07T00:00:00Z,0.05458497201981887,0.000439912870750816,379,1001+ Comments,<= 2 years
The Scariest Movie Of The Year(?),2024-07-22T19:52:58Z,1434,148,3.1565491513317814,3.1565491513317814,20,FilmAnimation,423,mxRg5PXOFfw,2024-8-07T00:00:00Z,0.10320781032078104,0.01394700139470014,380,11-100 Comments,<= 2 years
Ray Park Talks Returning As Maul In The Clone Wars Season 7,2024-07-22T13:47:00Z,32171,2411,4.507464560676047,4.507464560676047,18,FilmAnimation,53,1P89DHqCjJI,2024-8-07T00:00:00Z,0.07494327189083336,0.0005595101178079637,380,11-100 Comments,<= 2 years
2 rage: heated in a row… (SOLS RNG),2024-07-21T19:45:08Z,104,2,2.0170333392987803,2.0170333392987803,2,FilmAnimation,14,j2WCG2qTZ88,2024-8-07T00:00:00Z,0.019230769230769232,0.019230769230769232,381,1-10 Comments,<= 2 years
THE EPIC KICK! | Talking Tom | Video for Kids | WildBrain Zoo,2024-07-21T13:00:16Z,14563605,28531,7.163268891310608,7.163268891310608,0,FilmAnimation,3441,MHvZqKwhM9A,2024-8-07T00:00:00Z,0.001959061647167717,0.0,381,No Comments,<= 2 years
A mara paru song banjara balakrishna new song #srkingcreation,2024-07-20T15:13:52Z,28,3,1.4471580313422192,1.4471580313422192,0,FilmAnimation,30,Nf-StUw460U,2024-8-07T00:00:00Z,0.10714285714285714,0.0,382,No Comments,<= 2 years
Mark Hamill Talks About The Skywalker Lineage In Star Wars,2024-07-20T13:34:37Z,10901777,342442,7.0374972941235265,7.0374972941235265,2058,FilmAnimation,27,7t_PzZFQKuE,2024-8-07T00:00:00Z,0.03141157629623134,0.0001887765636739772,382,1001+ Comments,<= 2 years
Os MELHORES e os PIORES em THE BOYS,2024-07-19T05:25:29Z,43259,5907,4.6360764758173225,4.6360764758173225,345,FilmAnimation,753,qTRarNgzWMc,2024-8-07T00:00:00Z,0.13654961973231003,0.007975219029566102,383,101-1000 Comments,<= 2 years
Niger :🇳🇪 Ƙasa Niger zata zama abin masali a duniya yan Niger zasu ci Arzikin da allah yaba so 🥰🇳🇪,2024-07-18T04:24:48Z,63309,1441,4.801465453658703,4.801465453658703,41,FilmAnimation,363,iaax-oT4jjQ,2024-8-07T00:00:00Z,0.022761376739484116,0.0006476172424141907,384,11-100 Comments,<= 2 years
Ewan McGregor Talks His Experience Filming The Prequels,2024-07-16T20:00:09Z,7544799,217265,6.877647674283426,6.877647674283426,1657,FilmAnimation,33,PS1pmLn4LUI,2024-8-07T00:00:00Z,0.02879665846631567,0.00021962149024778527,386,1001+ Comments,<= 2 years
George Lucas Explains Why He Created The Clone Wars,2024-07-13T19:00:10Z,54214,4345,4.734111451439238,4.734111451439238,43,FilmAnimation,36,LOqNtOqYS6E,2024-8-07T00:00:00Z,0.08014534990961744,0.0007931530600951784,389,11-100 Comments,<= 2 years
STAR WARS: O ACÓLITO é a PIOR SÉRIE já feita -  CHAPADO CRÍTICO #04 (PILOTO),2024-07-12T02:50:13Z,50171,5903,4.700452757399163,4.700452757399163,469,FilmAnimation,586,lYpTnA7kK-w,2024-8-07T00:00:00Z,0.11765761097048096,0.009348029738295032,390,101-1000 Comments,<= 2 years
How The Darksaber Was Created In Star Wars,2024-07-10T17:19:48Z,76967,6281,4.886304559070366,4.886304559070366,108,FilmAnimation,50,brPIG4nxWVk,2024-8-07T00:00:00Z,0.08160640274403316,0.0014031987735003313,392,101-1000 Comments,<= 2 years
Máša a Medvěd 🐻👧 Špionážní vychytávky 😎🥷 Kolekce epizod 🎬,2024-07-09T08:00:30Z,748306,1071,5.874079227458028,5.874079227458028,0,FilmAnimation,3783,Xgyteb7isnU,2024-8-07T00:00:00Z,0.0014312326775410059,0.0,393,No Comments,<= 2 years
Dave Filoni & Sam Witwer Talk The Maul & Ben Kenobi Fight,2024-07-09T00:00:02Z,3293665,175644,6.5176794248124725,6.5176794248124725,1622,FilmAnimation,56,6bZiVXljIsI,2024-8-07T00:00:00Z,0.053327827814911355,0.0004924605264955604,393,1001+ Comments,<= 2 years
A donde van,2024-07-08T21:58:00Z,257,23,2.4099331233312946,2.4099331233312946,7,FilmAnimation,239,Lkq_-kZjnl8,2024-8-07T00:00:00Z,0.08949416342412451,0.027237354085603113,394,1-10 Comments,<= 2 years
George Lucas Explains The Origin Of The Sith Knights,2024-07-07T17:00:23Z,97424,5038,4.988665956710447,4.988665956710447,194,FilmAnimation,32,bopPL5Q2cf0,2024-8-07T00:00:00Z,0.05171210379372639,0.0019912957792741007,395,101-1000 Comments,<= 2 years
A Stands For Arson 😳 (Animation Meme) #shorts,2024-07-07T15:00:18Z,25414903,1260314,7.405088456488254,7.405088456488254,8555,FilmAnimation,19,PG7aScOT3TQ,2024-8-07T00:00:00Z,0.04958956561825162,0.00033661352160187273,395,1001+ Comments,<= 2 years
A Corrida | O Incrível Mundo de Gumball | Cartoon Network 🇧🇷,2024-07-06T16:00:46Z,2844562,12742,6.454015404078279,6.454015404078279,260,FilmAnimation,225,qah3nyBVfFo,2024-8-07T00:00:00Z,0.0044794242487947175,9.140247250719092e-05,396,101-1000 Comments,<= 2 years
Niger :🇳🇪Halin da yan Niger ke ciki a Libye 🇱🇾 babu kwanciya hakali kame su keyi ya kamta yan Niger,2024-07-05T09:17:48Z,2687,98,3.4292676664331685,3.4292676664331685,5,FilmAnimation,271,_FKnanmtuHw,2024-8-07T00:00:00Z,0.036471901749162636,0.0018608113137327876,397,1-10 Comments,<= 2 years
Hayden Christensen Talks About The Duel On Mustafar In ROTS,2024-07-03T21:00:09Z,897033,51365,5.952808420139167,5.952808420139167,458,FilmAnimation,47,E_njGBXG47Y,2024-8-07T00:00:00Z,0.05726099262791893,0.0005105720748289082,399,101-1000 Comments,<= 2 years
