"","   Title","    Date","    Views","    Likes","   ViewsLog","   LikesLog","   Comments","  Category","   Duration","  VideoID"," Extracted","     LTV","     CTV","     Diff","          CommentsGroup","              DiffGroup","          LTVGroup","DurationGroup","               CTVGroup"," Duration_min"
"","Length:8392       ","Length:8392       ","Min.   :         1  ","Min.   :       1  ","Min.   :0.000  ","Min.   :0.000  ","Min.   :     0.0  ","Length:8392       ","Min.   :    0.0  ","Length:8392       ","Length:8392       ","Min.   :0.0000177  ","Min.   :  0.00000  ","Min.   :  0.0  ","No Comments      :1987  ","<1 week            :3515  ","0~0.015 LTV   :2258  ","Length:8392       ","<1 week            :   0  ","Min.   :  0.000  "
"","Class :character  ","Class :character  ","1st Qu.:      1200  ","1st Qu.:      28  ","1st Qu.:3.079  ","1st Qu.:1.447  ","1st Qu.:     1.0  ","Class :character  ","1st Qu.:   30.0  ","Class :character  ","Class :character  ","1st Qu.:0.0139942  ","1st Qu.:  0.00263  ","1st Qu.:  1.0  ","1-10 Comments    :2073  ","≥1 week, <3 months :1407  ","0.015~0.03 LTV:1920  ","Class :character  ","≥1 week, <3 months :1407  ","1st Qu.:  0.500  "
"","Mode  :character  ","Mode  :character  ","Median :     14248  ","Median :     398  ","Median :4.154  ","Median :2.600  ","Median :    12.0  ","Mode  :character  ","Median :   61.0  ","Mode  :character  ","Mode  :character  ","Median :0.0302099  ","Median :  0.07954  ","Median : 32.0  ","11-100 Comments  :2035  ","≥3 months, <2 years:1781  ","0.03~0.06 LTV :2353  ","Mode  :character  ","≥3 months, <2 years:1781  ","Median :  1.017  "
"",NA,NA,"Mean   :   2058150  ","Mean   :   34740  ","Mean   :4.103  ","Mean   :2.541  ","Mean   :   484.7  ",NA,"Mean   :  756.2  ",NA,NA,"Mean   :0.0451836  ","Mean   :  0.52900  ","Mean   :251.1  ","101-1000 Comments:1619  ","≥2 years           :1688  ","0.06~ LTV     :1859  ",NA,"≥2 years           :1688  ","Mean   : 12.603  "
"",NA,NA,"3rd Qu.:    106128  ","3rd Qu.:    3028  ","3rd Qu.:5.026  ","3rd Qu.:3.481  ","3rd Qu.:   125.0  ",NA,"3rd Qu.:  745.2  ",NA,NA,"3rd Qu.:0.0560867  ","3rd Qu.:  0.38195  ","3rd Qu.:449.0  ","1001+ Comments   : 678  ","Other              :   1  ","Other         :   2  ",NA,"Other              :3516  ","3rd Qu.: 12.421  "
"",NA,NA,"Max.   :1267352032  ","Max.   :16395287  ","Max.   :9.103  ","Max.   :7.215  ","Max.   :289586.0  ",NA,"Max.   :42896.0  ",NA,NA,"Max.   :2.8571429  ","Max.   :100.00000  ","Max.   :919.0  ",NA,NA,NA,NA,NA,"Max.   :714.933  "
