Age,Count
1,3523
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,603
32,170
33,142
34,90
35,78
36,53
37,38
38,36
39,27
40,37
41,21
42,24
43,22
44,13
45,16
46,12
47,12
48,10
49,5
50,5
51,8
52,8
53,4
54,4
55,8
56,4
57,10
58,2
59,4
60,2
61,0
62,1
63,1
64,2
65,2
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,3
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,2
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,44
366,35
367,28
368,25
369,24
370,28
371,27
372,19
373,26
374,23
375,26
376,18
377,15
378,26
379,26
380,27
381,28
382,23
383,24
384,32
385,22
386,24
387,24
388,25
389,25
390,20
391,24
392,25
393,19
394,17
395,29
396,29
397,20
398,25
399,26
400,23
401,24
402,17
403,19
404,16
405,16
406,19
407,15
408,20
409,10
410,12
411,17
412,20
413,19
414,15
415,18
416,19
417,12
418,16
419,13
420,13
421,13
422,10
423,11
424,10
425,13
426,7
427,10
428,11
429,8
430,9
431,3
432,8
433,13
434,11
435,9
436,5
437,12
438,2
439,7
440,9
441,8
442,6
443,2
444,3
445,7
446,6
447,9
448,8
449,13
450,10
451,10
452,8
453,5
454,6
455,4
456,9
457,8
458,12
459,8
460,9
461,7
462,8
463,3
464,6
465,11
466,8
467,6
468,6
469,6
470,4
471,3
472,5
473,3
474,5
475,8
476,14
477,1
478,3
479,5
480,6
481,7
482,4
483,4
484,4
485,5
486,8
487,6
488,5
489,7
490,5
491,3
492,10
493,3
494,5
495,3
496,3
497,9
498,8
499,2
500,4
501,3
502,3
503,3
504,2
505,2
506,3
507,2
508,7
509,2
510,4
511,2
512,2
513,2
514,4
515,2
516,3
517,2
518,1
519,0
520,0
521,3
522,2
523,1
524,0
525,3
526,2
527,1
528,2
529,0
530,2
531,0
532,1
533,0
534,2
535,3
536,3
537,1
538,1
539,3
540,1
541,2
542,0
543,0
544,0
545,2
546,0
547,1
548,2
549,0
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,2
563,0
564,1
565,4
566,0
567,1
568,0
569,0
570,2
571,1
572,1
573,0
574,2
575,1
576,0
577,0
578,0
579,2
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,1
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,33
732,18
733,20
734,24
735,21
736,19
737,18
738,13
739,28
740,28
741,29
742,17
743,22
744,24
745,16
746,13
747,15
748,13
749,13
750,16
751,13
752,14
753,19
754,23
755,21
756,20
757,19
758,19
759,9
760,23
761,19
762,28
763,21
764,12
765,24
766,30
767,40
768,41
769,24
770,20
771,22
772,37
773,27
774,29
775,27
776,16
777,39
778,35
779,33
780,21
781,26
782,29
783,25
784,18
785,17
786,23
787,18
788,25
789,24
790,16
791,11
792,11
793,15
794,13
795,16
796,6
797,10
798,8
799,6
800,10
801,12
802,20
803,10
804,5
805,8
806,3
807,9
808,10
809,11
810,1
811,6
812,7
813,7
814,8
815,9
816,11
817,4
818,4
819,9
820,7
821,4
822,5
823,5
824,4
825,2
826,5
827,3
828,3
829,2
830,0
831,3
832,3
833,4
834,1
835,1
836,3
837,3
838,5
839,4
840,4
841,3
842,1
843,2
844,1
845,1
846,1
847,2
848,2
849,2
850,0
851,0
852,0
853,3
854,1
855,3
856,2
857,2
858,4
859,1
860,2
861,4
862,7
863,3
864,2
865,1
866,3
867,2
868,3
869,1
870,1
871,1
872,2
873,0
874,3
875,0
876,1
877,1
878,2
879,0
880,2
881,1
882,0
883,1
884,1
885,3
886,0
887,0
888,0
889,1
890,0
891,0
892,0
893,1
894,0
895,0
896,2
897,1
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,0
917,0
918,0
919,2
