Title,Date,Views,Likes,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff
Mix Fruit Pie | New Recipe Of Apple Pie |  By K.A Foods #Youtubeshorts #Shorts,2021-07-02T06:25:04Z,570,18,12,HowtoStyle,0:00:59,oaoXXsdiKrU,2021-07-03T00:00:00Z,0.031578947368421054,0.6666666666666666,1461
"How‌ ‌OOH‌ ‌Audio‌ ‌is‌ ‌Creating‌ ‌a‌ ‌Memorable‌ ‌In-Store‌ ‌Experience‌‌ ‌CSO,‌ ‌Paul‌ ‌Brenner",2021-07-02T11:00:01Z,7138,0,0,Education,0:49:18,1HCAysgknPg,2021-07-03T00:00:00Z,N/A,N/A,1461
"Since thou wast precious in my sight, thou hast been honourable, and I have loved thee: Isaiah 43:4.",2021-07-02T03:44:39Z,127,25,2,Education,0:00:23,j-iS7whkZ-Y,2021-07-03T00:00:00Z,0.1968503937007874,0.08,1461
Days of the Week Song | Gracie’s Corner | Kids Songs + Nursery Rhymes,2021-07-01T13:12:23Z,42470536,54482,0,Education,0:02:09,poQGhbve36g,2021-07-03T00:00:00Z,0.0012828187522756953,0.0,1462
Pantalla completa a cualquier aplicación..[Androide 25],2021-07-02T01:24:31Z,97615,3171,106,ScienceTech,0:01:00,TBeopHKGJoU,2021-07-03T00:00:00Z,0.03248476156328433,0.03342794071270892,1461
Como Mostrar a Senha do WIFI usando SMARTPHONE - FÁCIL E RÁPIDO #shorts,2021-07-01T18:15:04Z,1264250,44096,1120,ScienceTech,0:00:47,Sw1_By9_tGE,2021-07-03T00:00:00Z,0.03487917737789203,0.02539912917271408,1462
What's normal anxiety -- and what's an anxiety disorder? | Body Stuff with Dr. Jen Gunter | TED,2021-07-01T16:11:37Z,3979194,137632,3385,ScienceTech,0:05:11,xsEJ6GeAGb0,2021-07-03T00:00:00Z,0.0345879090087088,0.024594571029993025,1462
How Do You Overcome Habitual Sin? (A Powerful Key),2021-07-02T16:00:13Z,151358,21065,300,NonprofitsActivism,0:00:25,_J2Hr-USP00,2021-07-03T00:00:00Z,0.13917335059924155,0.014241633040588654,1461
SRMD Yoga Course - Level 1 | 3 Days to Build a Daily Practise | #Shorts,2021-06-26T08:10:23Z,11375,303,0,NonprofitsActivism,0:00:49,GFTEqa6v0YM,2021-07-03T00:00:00Z,0.026637362637362636,0.0,1467
What Happens When A Queer Person Comes Out? | Pallav Patankar | Out And Proud,2021-06-26T06:21:59Z,41475,34,1,NonprofitsActivism,0:00:47,4MlANY-3D9k,2021-07-03T00:00:00Z,0.0008197709463532248,0.029411764705882353,1467
