Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
and,2025-03-27T19:40:25Z,33,2,0,cjwemqGPVg0,AutosVehicles,,6.060606061,0,87
2026 Pickup DEEPAL HUNTER K50 - Look Walkaround,2025-03-26T06:20:18Z,716,8,0,HtBLX9hCrC8,AutosVehicles,,1.117318436,0,88
New 2025 BYD Summer 夏 Top Option Excellent | Look Walkaround,2025-03-26T02:36:59Z,784,4,0,52cmgKzZ-7c,AutosVehicles,,0.5102040816,0,88
22. März 2025,2025-03-22T12:29:57Z,645,7,0,NdpMg2BugyU,AutosVehicles,,1.085271318,0,92
2025 Xpeng X9 Max Ultra Long Range | Interior and Exterior Look,2025-03-21T07:27:47Z,140,0,0,lfJVR7fQII8,AutosVehicles,,0,#DIV/0!,93
𝐌𝐞𝐫𝐜𝐞𝐝𝐞𝐬 𝐒𝐩𝐫𝐢𝐧𝐭𝐞𝐫 𝐕𝐈𝐏 𝐋𝐮𝐱𝐮𝐫𝐲 𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬 - 𝐅𝐢𝐫𝐬𝐭 𝐂𝐥𝐚𝐬𝐬 𝐄𝐝𝐢𝐭𝐢𝐨𝐧 2025 | Look Walkaround,2025-03-21T01:50:16Z,32,0,0,-4ZVZHCSd9Y,AutosVehicles,,0,#DIV/0!,93
Top 10 Cars Made For Only BILLIONAIRES!,2025-03-20T12:30:58Z,30,3,1,sjOo4yWTjX8,AutosVehicles,,10,33.33333333,94
2025 Mercedes GLS600 Maybach 2-Tone | Look Walkaround,2025-03-20T07:06:45Z,192,1,0,l4S-fU75i8g,AutosVehicles,,0.5208333333,0,94
,,,,,,,,#DIV/0!,#DIV/0!,#VALUE!
,,,,,,,,#DIV/0!,#DIV/0!,#VALUE!
pov: taking the nyc subway with a labubu be like,2025-04-15T07:56:31Z,3318,21,5,qaiFqC56a3c,Comedy,,0.6329113924,23.80952381,68
#TRENDING#trendingshortsVIDEO#DAILEY NEW VIDEOS EDITING  upload a video or record a Short on YouTube,2025-04-14T15:17:16Z,143,3,0,ENY3gui6JSA,Comedy,,2.097902098,0,69
"PRETENDING TO BE A GUY BUT A TEACHER!This Guy Style MAKES NETIZENS THINK TWICE!"""" #trending #funny",2025-04-13T01:00:41Z,31452,230,N/A,h9doC-y7lnQ,Comedy,,0.731273051,#VALUE!,70
Everybody wants a flower,2025-04-12T15:10:00Z,39154332,218434,60,uH7eXQLxNLs,Comedy,,0.5578795215,0.02746825128,71
"PRAMUGARI GOT A TRANSFER FROM A BULE BROTHER! His Reaction Made The Captain SURPRISED!!""#trending",2025-04-12T01:00:31Z,33576,222,N/A,MSy8HG1Pni0,Comedy,,0.6611865618,#VALUE!,71
Cette pote qu'a bloqué sur un mec #humour #pourtoi #foryou,2025-04-11T17:00:32Z,2095850,85823,321,Ileaal3rYRU,Comedy,,4.09490183,0.3740256109,72
"yah video Bihari Babu 034 15 ,4,25, ko YouTube per a rahi hai",2025-04-11T16:14:05Z,1703,87,3,Wznd68PTDFA,Comedy,,5.108631826,3.448275862,72
Unboxing A New Pair Of Giannis Immortality 4 And Playing In Them! -mikejuniorhoops,2025-04-10T18:17:20Z,76,3,1,BfMmttixgB8,Comedy,,3.947368421,33.33333333,73
