Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
Donald Trump újra akcióban: most a Coca-Cola ízét változtatná meg az USA-ban,2025-08-01T17:00:44Z,5748,136,3.759516759462188,3.759516759462188,11,NewsPolitics,79,Wz1vgFZqa58,2025-8-02T00:00:00Z,0.023660403618649965,0.0019137091162143354,1,11-100 Comments,<= 1 week
Why a 'Trumpian blank check' for Netanyahu may be the worst thing or Israel: New Yorker,2025-08-01T16:48:35Z,23076,278,4.3631605302861045,4.3631605302861045,250,NewsPolitics,539,BDLY2Mbzowk,2025-8-02T00:00:00Z,0.012047148552608772,0.010833766684000693,1,101-1000 Comments,<= 1 week
CHlLD Pred Gets Caught in The Act,2025-08-01T16:01:22Z,774243,15943,5.888877287551439,5.888877287551439,8381,NewsPolitics,1074,m6wmupB5a3Q,2025-8-02T00:00:00Z,0.020591726370144774,0.01082476690134751,1,1001+ Comments,<= 1 week
"This is a game-changer for American workers, according to Trump's labor chief",2025-08-01T16:01:36Z,25363,1090,4.404200621701355,4.404200621701355,368,NewsPolitics,205,rQh08-hjlXY,2025-8-02T00:00:00Z,0.042975988644876395,0.014509324606710563,1,101-1000 Comments,<= 1 week
The REAL reason Mark Carney wants to recognize a Palestinian state,2025-08-01T15:31:05Z,85878,5032,4.933881921662232,4.933881921662232,1868,NewsPolitics,772,3-fgUAlIWeU,2025-8-02T00:00:00Z,0.05859475069284334,0.021751787419362352,1,1001+ Comments,<= 1 week
NOTÍCIAS DA MANHÃ | Moraes é só o começo! Deputado dos EUA apavora STF | CAFÉ COM A GAZETA DO POVO,2025-08-01T14:42:16Z,212922,15591,5.3282205368961915,5.3282205368961915,22,NewsPolitics,16498,_vBlq483HJs,2025-8-02T00:00:00Z,0.07322399752021867,0.00010332422201557377,1,11-100 Comments,<= 1 week
A $2B NHL team seized control of youth hockey. Parents are fed up.,2025-08-01T14:41:17Z,59029,457,4.771065425976395,4.771065425976395,244,NewsPolitics,301,GCD3JjTceFk,2025-8-02T00:00:00Z,0.0077419573430008975,0.004133561469786037,1,101-1000 Comments,<= 1 week
"I BROKE it, ok...🙄 Cooking on a STORMY Day ⛈ Cilantro Lime Chicken and Rice Skillet all in one PAN!",2025-08-01T23:30:30Z,14460,2186,4.160168292958512,4.160168292958512,115,HowtoStyle,951,xOvFCvWkSs8,2025-8-02T00:00:00Z,0.1511756569847856,0.007952973720608575,1,101-1000 Comments,<= 1 week
Rumors Of A Maxwell Pardon Are Coming True | HasanAbi Archive,2025-08-01T23:19:44Z,42780,1581,4.631240780235509,4.631240780235509,70,HowtoStyle,1431,6iNwE_tvFko,2025-8-02T00:00:00Z,0.03695652173913044,0.0016362786348761104,1,11-100 Comments,<= 1 week
How To Cook The Perfect Beef Rib As A Beginner,2025-08-01T23:01:03Z,13987,771,4.145724574880668,4.145724574880668,89,HowtoStyle,1385,tiX9-Xqd4_M,2025-8-02T00:00:00Z,0.055122613855723174,0.006363051404875956,1,11-100 Comments,<= 1 week
