Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
An ICONIC Prime Time moment 🥶 #deionsanders #andrerison #fight #nfl,2023-06-23T18:45:19Z,10215343,506375,7.009252953494791,7.009252953494791,10184,Sports,52,g2lVufF3cu4,2023-8-03T00:00:00Z,0.049570043805675444,0.0009969317721392223,771,1001+ Comments,> 2 years
WILD! How The Longest Tennis Match In History Lasted 3 DAYS! 🤯,2023-06-22T13:17:05Z,696286,30308,5.842787663043063,5.842787663043063,164,Sports,42,AiiwPVN-Fow,2023-8-03T00:00:00Z,0.043528090468571826,0.00023553539781066975,772,101-1000 Comments,> 2 years
When Terence Crawford flicked the switch against Porter 😤 🔥,2023-06-21T13:20:24Z,2387663,98365,6.377973029505696,6.377973029505696,1808,Sports,60,iN972LNVBBY,2023-8-03T00:00:00Z,0.0411971873752703,0.0007572257894016032,773,1001+ Comments,> 2 years
The Worst Premier League Player,2023-06-20T06:00:11Z,1338953,75937,6.126765332651371,6.126765332651371,287,Sports,54,YW6GQgbsg14,2023-8-03T00:00:00Z,0.05671371586605355,0.00021434658274039492,774,101-1000 Comments,> 2 years
Houston Texans fans educates #panthers fans about #BrianBurns value 🤣 #nfl #shorts,2023-06-19T21:45:30Z,1866,52,3.2709116394104814,3.2709116394104814,11,Sports,61,vqBKeSdeb_w,2023-8-03T00:00:00Z,0.027867095391211148,0.005894962486602358,775,11-100 Comments,> 2 years
New SRAM Apex - A shift in the right direction 🔥 #cycling #sramapex #gravelbikes,2023-06-16T10:06:41Z,198322,3429,5.29737089347227,5.29737089347227,67,Sports,59,PxhkXZ8nFIM,2023-8-03T00:00:00Z,0.01729006363388832,0.0003378344308750416,778,11-100 Comments,> 2 years
The story of the Mighty Ducks is truly incredible 😳,2023-06-16T02:50:51Z,297430,12983,5.473384771103771,5.473384771103771,167,Sports,48,7nckUUAJMCk,2023-8-03T00:00:00Z,0.04365060686548095,0.0005614766499680597,778,101-1000 Comments,> 2 years
Sigueme campeones a los 50,2023-06-15T14:57:13Z,619,15,2.791690649020118,2.791690649020118,0,Sports,18,QXuUhu2wxKs,2023-8-03T00:00:00Z,0.024232633279483037,0.0,779,No Comments,> 2 years
😍 Vettel BACK in a Red Bull - on the Nordschleife! #F1,2023-06-14T17:15:14Z,1170014,44357,6.068191058401179,6.068191058401179,383,Sports,60,A-wGYweQJH0,2023-8-03T00:00:00Z,0.03791151216993985,0.00032734651038363646,780,101-1000 Comments,> 2 years
campeones a los 50,2023-06-14T14:04:54Z,702,21,2.846337112129805,2.846337112129805,0,Sports,14,_M-pVWZkqzM,2023-8-03T00:00:00Z,0.029914529914529916,0.0,780,No Comments,> 2 years
