Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
Emotional Ocean Rescue: Rescuing a Blue Whale Covered in Millions of Parasitic Barnacles,2025-08-01T14:30:12Z,6332,65,3.801540906,3.801540906,10,PetsAnimals,528,HGUcGrnMcgQ,2025-8-02T00:00:00Z,0.01026531901,0.001579279848,1,1-10 Comments,<= 1 week
Always Together… A Puppy and Kitten Friends Sleeping in a Cozy Blanket,2025-08-01T14:30:11Z,64249,1813,4.807866373,4.807866373,28,PetsAnimals,6,JzbMMM4t5Cs,2025-8-02T00:00:00Z,0.02821833803,0.0004358044483,1,11-100 Comments,<= 1 week
Say hello to Cecil the gentle giant! 🐢💚 He weighs a whopping 500 pounds and is only 35 years old🤩,2025-08-01T14:00:44Z,19234,727,4.284069612,4.284069612,88,PetsAnimals,25,SIXONKds__0,2025-8-02T00:00:00Z,0.03779764999,0.004575231361,1,11-100 Comments,<= 1 week
My biggest aquarium needed a reset. (4K),2025-08-01T13:51:30Z,12301,528,4.089940418,4.089940418,34,PetsAnimals,929,Ct6YVxp_mFc,2025-8-02T00:00:00Z,0.04292333957,0.002764002927,1,11-100 Comments,<= 1 week
A family rescued and sheltered a baby ocelot and then this happened... #animals #story,2025-08-01T13:46:44Z,28657,1807,4.457230724,4.457230724,12,PetsAnimals,59,NHPK9hcUqbw,2025-8-02T00:00:00Z,0.06305614684,0.0004187458562,1,11-100 Comments,<= 1 week
⚠️A Parasite Attacked the Brown Bear… But He Stepped In! #animalrescue #brownbear,2025-08-01T13:40:39Z,24062,342,4.381331722,4.381331722,3,PetsAnimals,46,R3Ul2D1xJR0,2025-8-02T00:00:00Z,0.01421328235,0.0001246779154,1,1-10 Comments,<= 1 week
"When a Woman Leaves Home... | A True Story of Pain, Judgment, and Return",2025-08-01T13:30:47Z,17882,923,4.252416091,4.252416091,185,PetsAnimals,3043,hVr1l0maOTs,2025-8-02T00:00:00Z,0.05161615032,0.01034559893,1,101-1000 Comments,<= 1 week
This Cat Exposed a Secret 😂❤️,2025-08-01T13:10:02Z,32011,699,4.505299241,4.505299241,2,PetsAnimals,35,yd8kD_4Pxnk,2025-8-02T00:00:00Z,0.02183624379,6.25E-05,1,1-10 Comments,<= 1 week
We Spotted a Baby Snowy Owl?! 🦉 | 15 Min | Leo the Wildlife Ranger | #animals #kids,2025-08-01T13:00:06Z,9742,45,3.988648125,3.988648125,0,PetsAnimals,1144,Mn1hH5NI1As,2025-8-02T00:00:00Z,0.004619174707,0,1,No Comments,<= 1 week
Este dogo argentino le perdonó el atrevimiento a este firulais #dogo #perros,2025-08-01T12:49:09Z,49492,1375,4.694535004,4.694535004,15,PetsAnimals,50,U50w7lP4h2o,2025-8-02T00:00:00Z,0.02778226784,0.0003030792855,1,11-100 Comments,<= 1 week
내년이면 중학생이 되는 강아지,2025-08-01T12:45:08Z,73781,4262,4.867944537,4.867944537,428,PetsAnimals,441,lPhIFdkCc4M,2025-8-02T00:00:00Z,0.0577655494,0.005800951464,1,101-1000 Comments,<= 1 week
Gata Choco y Gatito Rescataron a una Sirena Embarazada de ser perseguida TUNG TUNG TUNG SAHUR 🧜‍♀️✨,2025-08-01T12:13:00Z,15364,485,4.186504298,4.186504298,2,PetsAnimals,972,BInx4hMzxrA,2025-8-02T00:00:00Z,0.03156730018,0.0001301744337,1,1-10 Comments,<= 1 week
The Shalik bird sang a ghazal about his father. #talkingbirds #shalikpakhi,2025-08-01T12:11:08Z,125970,3202,5.100267129,5.100267129,11,PetsAnimals,20,q3bhJLe_I9g,2025-8-02T00:00:00Z,0.0254187505,8.73E-05,1,11-100 Comments,<= 1 week
Mono BuBu va al supermercado a comprar coche y hace helado gelatina sandía en casa - MONO BUBU ESP,2025-08-01T12:10:12Z,4902,2673,3.690373307,3.690373307,102,PetsAnimals,5471,9JnNonXsNQc,2025-8-02T00:00:00Z,0.5452876377,0.02080783354,1,101-1000 Comments,<= 1 week
Predators of the Delta -  A Constant Fight for Survival,2025-08-01T12:00:20Z,5799,117,3.763353109,3.763353109,3,PetsAnimals,3002,CO3u-lna-rw,2025-8-02T00:00:00Z,0.0201758924,0.0005173305742,1,1-10 Comments,<= 1 week
KOBIETY MAFII! 🥰 ONA JEST Z POLICJI! A CO Z MUNDIALEM?! WSZYSCY RĘCE W GÓRĘ! 😅 #shorts #trending,2025-08-01T11:40:40Z,271033,2508,5.433022172,5.433022172,24,PetsAnimals,26,w2HzL5lzE24,2025-8-02T00:00:00Z,0.009253485738,8.86E-05,1,11-100 Comments,<= 1 week
10 Ways to Pop a Water Balloon 🎈,2025-08-01T23:47:53Z,176811,2326,5.24750928,5.24750928,0,Sports,18,WThM72Ha0Ho,2025-8-02T00:00:00Z,0.01315529011,0,1,No Comments,<= 1 week
