Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
Storytime! I thought my neighbor was a STALKER!,2025-07-01T20:45:19Z,13939412,237283,7.144244454497912,7.144244454497912,523,Entertainment,29,ZH2pBDiOMUE,2025-7-03T00:00:00Z,0.01702245403177695,3.751951660514805e-05,32,101-1000 Comments,<= 1 year
CAN YOU NAME ALL OF THE LABUBU’S?! 😱🤭 @agset211  #fun #labubu #toys #trend #cute #satisfying,2025-07-01T15:01:45Z,3244391,42069,6.5111331879896985,6.5111331879896985,2132,Entertainment,31,sO5SnmWqbaw,2025-7-03T00:00:00Z,0.012966686197810313,0.0006571341123804129,32,1001+ Comments,<= 1 year
Aぇ! group【人望王決定戦】WEST.さん、なにわ男子、さらにあの人も初登場！感謝です😭,2025-07-01T12:01:30Z,856801,33257,5.932879964703151,5.932879964703151,3289,Entertainment,1242,hN9YEJmNUE0,2025-7-03T00:00:00Z,0.03881531417446992,0.003838697667252956,32,1001+ Comments,<= 1 year
"Introducing the ""VitaWear SmartBand,"" a next-generation wearable gadget 🎉",2025-07-01T01:33:59Z,3129958,10606,6.495538509913662,6.495538509913662,7,Entertainment,6,NgPWChthJPo,2025-7-03T00:00:00Z,0.003388543871834702,2.236451735135104e-06,32,1-10 Comments,<= 1 year
MEU CRUSH CAIU DANDO GRAU DE BIKE - BATEU A CABEÇA E DESMAIOU,2025-06-30T20:46:07Z,234335,5029,5.369837159154624,5.369837159154624,1068,Entertainment,1486,FrYfbgTAzAI,2025-7-03T00:00:00Z,0.021460729297800157,0.004557577826615742,33,1001+ Comments,<= 1 year
What troubles can you have living here #Live in the scenery #A picturesque place,2025-06-30T08:48:30Z,502,6,2.7007037171450192,2.7007037171450192,0,Entertainment,7,efBPJAoHNG8,2025-7-03T00:00:00Z,0.01195219123505976,0.0,33,No Comments,<= 1 year
Hallmark's The Chicken Sisters Season 2 Gets A Release Date Here's When It Returns,2025-06-30T07:31:13Z,228,2,2.357934847000454,2.357934847000454,0,Entertainment,510,T0208IPdzcQ,2025-7-03T00:00:00Z,0.008771929824561403,0.0,33,No Comments,<= 1 year
MI HIJASTRA LE ARRANCA LOS BRACKETS A MI HIJA…*Se pelean por Unai!*,2025-06-29T18:40:00Z,981991,15536,5.992107507473051,5.992107507473051,3011,Entertainment,1230,-1uT2wB1ht4,2025-7-03T00:00:00Z,0.01582091892899222,0.0030662195478369965,34,1001+ Comments,<= 1 year
Simple Art Hack How to Draw a Stitch #shorts,2025-06-29T13:54:10Z,10311219,80664,7.013310010936173,7.013310010936173,0,Entertainment,28,hJDR5GtETns,2025-7-03T00:00:00Z,0.007822935387173912,0.0,34,No Comments,<= 1 year
A STRANGE Night Alone on Ireland’s Most Remote Wilderness Trail,2025-06-29T11:52:24Z,49457,2271,4.694227769062064,4.694227769062064,374,Entertainment,1641,f2EUrwI81oQ,2025-7-03T00:00:00Z,0.045918676830377904,0.0075621246739591965,34,101-1000 Comments,<= 1 year
Avmde futbol topu yerine dıron aldım.#shorts,2025-06-29T09:05:02Z,1801928,6413,6.255737433797648,6.255737433797648,6,Entertainment,19,qFMWHEo9phI,2025-7-03T00:00:00Z,0.003558965730040268,3.3297667831345094e-06,34,1-10 Comments,<= 1 year
"""Burning Up in the Car"" #shortdrama   #bumpdrama   #bumpint",2025-06-29T01:00:24Z,2201,16,3.342620042553348,3.342620042553348,0,Entertainment,39,NePnJ_hCca4,2025-7-03T00:00:00Z,0.007269422989550204,0.0,34,No Comments,<= 1 year
Preskoči Uže koje Vrti Lutka iz Squid Game-a Challenfe 🤩👧🏻😱,2025-06-28T19:57:23Z,23696,333,4.374675041177134,4.374675041177134,9,Entertainment,21,bm4StxEbd04,2025-7-03T00:00:00Z,0.014053004726536124,0.00037981093855503036,35,1-10 Comments,<= 1 year
ENCIERRO A MIS HIJAS CON SUS NOVIOS POR 24 HORAS…*pasan cosas salseantes!*,2025-06-28T18:40:00Z,860195,16232,5.934596913829884,5.934596913829884,1853,Entertainment,1433,Pl24Qwakna0,2025-7-03T00:00:00Z,0.018870139910136655,0.0021541627189183847,35,1001+ Comments,<= 1 year
