Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTV,Diff,CommentsGroup,DiffGroup
Melhores Filmes de Faroeste | A viúva foi se vingar dos assassinos do marido | Completo Dublado,2025-08-04T23:28:05Z,6748,33,3.829175073917088,3.829175073917088,2,FilmAnimation,5020,4gwr16UVZpA,2025-8-05T00:00:00Z,0.004890337877889745,0.0002963841138114997,1,1-10 Comments,<= 1 week
Berta molesta a Alan por su procedimiento médico? Serie dos hombres y medio #humor #comedia #series,2025-08-04T23:15:06Z,34509,1330,4.537932374511008,4.537932374511008,3,FilmAnimation,60,UnxTVf5eqA4,2025-8-05T00:00:00Z,0.03854067054971167,8.693384334521429e-05,1,1-10 Comments,<= 1 week
video of a tragic accident that ends the life of Land speed racing champion chris raschke,2025-08-04T23:07:24Z,98365,1252,4.992840596288919,4.992840596288919,165,FilmAnimation,76,KPU1yhidKkg,2025-8-05T00:00:00Z,0.012728104508717532,0.001677425913688812,1,101-1000 Comments,<= 1 week
🔥[Dublado] Não Mexa com a Minha Irmã | 💪Tina e Alan fugiram do orfanato crianças | GoodShort,2025-08-04T23:00:19Z,2177,39,3.3378584290410944,3.3378584290410944,2,FilmAnimation,1505,DMzpI0AZAcc,2025-8-05T00:00:00Z,0.017914561322921452,0.0009186954524575103,1,1-10 Comments,<= 1 week
Charlie y Jake hablan de universidades? Serie a dos hombres y medio #humor #comedia #series #movie,2025-08-04T22:04:37Z,82635,2785,4.917164031429003,4.917164031429003,2,FilmAnimation,60,U8lqFcBPMRg,2025-8-05T00:00:00Z,0.033702426332667755,2.4202819628486717e-05,1,1-10 Comments,<= 1 week
We Adopted A Puppy 🐶 Meet Polli 💕,2025-08-04T21:42:52Z,606754,31554,5.783012648081354,5.783012648081354,318,FilmAnimation,30,mLmnIJkCyXE,2025-8-05T00:00:00Z,0.05200460153538337,0.0005241003767589501,1,101-1000 Comments,<= 1 week
A quien no haya visto esta película se la RECOMIENDO |𝐋𝐀 𝐏𝐑𝐈𝐒𝐈𝐎𝐍𝐄𝐑𝐀  | 🔥 PELÍCULA 2025,2025-08-04T21:15:47Z,13251,175,4.122248653978054,4.122248653978054,15,FilmAnimation,4322,Z37X3WVhGWA,2025-8-05T00:00:00Z,0.013206550449022716,0.0011319900384876612,1,11-100 Comments,<= 1 week
Entrevisté a LINDSAY LOHAN y JAMIE LEE CURTIS por OTRO VIERNES DE LOCOS 😱❤️‍🔥🎸,2025-08-04T21:00:12Z,10732,741,4.0306806639999015,4.0306806639999015,53,FilmAnimation,388,rhu5p8lCuQU,2025-8-05T00:00:00Z,0.06904584420424897,0.004938501677226985,1,11-100 Comments,<= 1 week
Milhouse Zombi Hizo a Ralph Inteligente,2025-08-04T21:01:01Z,79408,2096,4.899864257853248,4.899864257853248,1,FilmAnimation,18,uNSYPjdODiE,2025-8-05T00:00:00Z,0.026395325408019345,1.2593189603062664e-05,1,1-10 Comments,<= 1 week
Picking a favorite sister prank…(GONE WRONG)😂 #shortsfeed #sister #prank,2025-08-04T20:25:00Z,178045,5849,5.25052978198163,5.25052978198163,174,FilmAnimation,14,7DjAZS363_0,2025-8-05T00:00:00Z,0.03285124547165043,0.0009772810244601084,1,101-1000 Comments,<= 1 week
A slave was caught stealing diamonds by the overseer.#shorts #movie,2025-08-04T20:15:01Z,100190,3593,5.000824376605605,5.000824376605605,13,FilmAnimation,95,DjHHHTPIgec,2025-8-05T00:00:00Z,0.03586186246132349,0.00012975346841002095,1,11-100 Comments,<= 1 week
¿Adiós a Cartoon Network? HBO Max borra sus caricaturas clásicas en Estados Unidos,2025-08-04T20:07:10Z,6308,130,3.799891684656865,3.799891684656865,15,FilmAnimation,46,SZls3XmyGvE,2025-8-05T00:00:00Z,0.02060875079264426,0.0023779327837666455,1,11-100 Comments,<= 1 week
¿Adiós a Cartoon Network? HBO Max borra sus caricaturas clásicas en Estados Unidos | Reporte Indigo,2025-08-04T20:07:29Z,5529,83,3.7426465899387362,3.7426465899387362,1,FilmAnimation,46,3f05IHg0K2Y,2025-8-05T00:00:00Z,0.015011756194610237,0.00018086453246518358,1,1-10 Comments,<= 1 week
They Forced a Monk to Drink — and Faced the Consequences | David Carradine - Kung Fu (1972),2025-08-04T20:00:42Z,33684,594,4.527423658682064,4.527423658682064,3,FilmAnimation,56,wxJtHKjhILw,2025-8-05T00:00:00Z,0.017634485215532597,8.906305664410402e-05,1,1-10 Comments,<= 1 week
Heartbreaking and emotional family movie | A dog of flanders | Full movie 🎬💔,2025-08-04T20:00:13Z,6567,49,3.8173670162875943,3.8173670162875943,2,FilmAnimation,5747,M0xLxbT5xzs,2025-8-05T00:00:00Z,0.007461550175118015,0.00030455306837216383,1,1-10 Comments,<= 1 week
Familia Wolfoo Español | ¿QUIÉN DEJÓ CALVA A MAMÁ? 😳💇‍♀️  HISTORIAS DIVERTIDAS - Dibujos Animados,2025-08-04T20:00:30Z,162311,636,5.210347953451727,5.210347953451727,0,FilmAnimation,1935,nkMXlImPTE4,2025-8-05T00:00:00Z,0.0039184035586004645,0.0,1,No Comments,<= 1 week
A woman used a man instead of heels,2025-08-04T20:00:24Z,24260,1270,4.384890796530554,4.384890796530554,15,FilmAnimation,66,MeDi7SHQ0Ns,2025-8-05T00:00:00Z,0.05234954657873042,0.0006183017312448475,1,11-100 Comments,<= 1 week
✈️LLEGA MI MAMÁ Y PADRASTRO A VISITARNOS🙏🏻❤️/LIMPIEZA OAEA RECIBIRLOS🧹🫧/COMIDA Y POSTRE CASERO🫰🏻🥘,2025-08-04T19:55:02Z,12592,916,4.100094715014989,4.100094715014989,61,FilmAnimation,1874,mfHAQCSyaaU,2025-8-05T00:00:00Z,0.0727445997458704,0.004844345616264295,1,11-100 Comments,<= 1 week
Trump's picture book told him Obama is a bad guy. ,2025-08-04T19:20:32Z,33370,4437,4.5233562066547925,4.5233562066547925,758,FilmAnimation,186,3Aknmqza0Oc,2025-8-05T00:00:00Z,0.13296373988612525,0.022715013485166316,1,101-1000 Comments,<= 1 week
LOST ON A MOUNTAIN IN MAINE | When Courage Is All You Have | True Story | Full Movie,2025-08-04T19:15:02Z,23423,266,4.369642518405259,4.369642518405259,20,FilmAnimation,5902,jk-r2is9iis,2025-8-05T00:00:00Z,0.01135635913418435,0.0008538615890364172,1,11-100 Comments,<= 1 week
