Title,Date,Views,Likes,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff
Kids show that knowledge at school is the most important thing,2024-11-13T10:00:07Z,83293579,179868,N/A,Entertainment,0:31:38,7adUE4WZ1QM,2024-11-14T00:00:00Z,N/A,N/A,243
It's satisfying to form a sanrio from sand A05 #mould #satisfying #kineticsand #sand #mold #shape,2024-11-13T07:06:13Z,13700,207,0,Entertainment,0:00:23,dvmsW_W2Hu8,2024-11-14T00:00:00Z,0.01510948905109489,0.0,243
I Tried a Liquid Diet,2024-11-12T19:15:00Z,18463410,610816,1586,Entertainment,0:00:52,Lr2zPyRfIdE,2024-11-14T00:00:00Z,0.0330825129269187,0.0025965266135792122,244
Jaana Samjho Na | Kartik A | Tripati Dhimri | #bhoolbhulaiyaa3 #song #status #shots,2024-11-12T17:30:51Z,871,27,0,Entertainment,0:00:31,HWCVA89tvLI,2024-11-14T00:00:00Z,0.030998851894374284,0.0,244
LARA ABANDONA A RHENNÉ 🐸💓,2024-11-12T13:00:24Z,8902521,14592,N/A,Entertainment,0:10:00,eE461JG65mg,2024-11-14T00:00:00Z,N/A,N/A,244
KeajaiBan DO'A ISTRI🤲 #ELDiko,2024-11-12T12:53:24Z,354,10,6,Entertainment,0:01:01,1P0XVrOOnfU,2024-11-14T00:00:00Z,0.02824858757062147,0.6,244
"Ella baila breaking como una pro... ¡y sus tenis lo saben!"" 🕶️👟 #FuturoDelBreaking #dancevideo #epic",2024-11-12T11:57:57Z,95588561,1544871,9155,Entertainment,0:00:12,mJKgwOBf5zs,2024-11-14T00:00:00Z,0.016161672315581778,0.005926061140380006,244
Having a talk with my ex when I get a gf! 🤣 (4K MEMES)#funny #animation #shorts #shortvideo #viral,2024-11-11T13:28:39Z,1411,34,0,Entertainment,0:00:18,Dm-a2nwe0H8,2024-11-14T00:00:00Z,0.024096385542168676,0.0,245
Tirelessly Attaching Thousands of Bucket Handles in a Day! 🪣🏷️,2024-11-11T11:01:53Z,16948,583,4,Entertainment,0:00:20,AT-4Tv7Z7ls,2024-11-14T00:00:00Z,0.03439933915506255,0.00686106346483705,245
It's satisfying to form a sanrio from sand A03 #mould #satisfying #kineticsand #sand #mold #shape,2024-11-11T10:51:21Z,20030,384,0,Entertainment,0:00:20,bFvATnirau4,2024-11-14T00:00:00Z,0.019171243135297056,0.0,245
Explorando a praia secreta da cidade de Peruíbe,2024-11-11T00:08:35Z,68,2,0,Entertainment,0:05:19,X56YCpC66UI,2024-11-14T00:00:00Z,0.029411764705882353,0.0,245
I Tested the Aztec “Death” Whistle,2024-11-10T17:23:10Z,1357950,28812,158,Entertainment,0:00:30,vxhmLnTiI2I,2024-11-14T00:00:00Z,0.02121727604109135,0.005483826183534639,246
I Built a THEME PARK in my House!,2024-11-10T15:00:27Z,436137,6468,439,Entertainment,0:22:35,VKHbcdnbLDA,2024-11-14T00:00:00Z,0.0148302024363904,0.0678726035868893,246
each episode of #MrPlankton in a nutshell #Netflix #emotionalrollercoaster,2024-11-10T09:00:52Z,927900,58099,288,Entertainment,0:00:27,o7ubWV6n9pc,2024-11-14T00:00:00Z,0.06261342817113913,0.004957056059484673,246
Buying a car in 2023!🤣🤓(4k memes)#animation #funny #shorts #shortvideo #comedyviralvideo,2024-11-10T02:47:48Z,5706,107,0,Entertainment,0:00:17,ALvphvvNKQM,2024-11-14T00:00:00Z,0.018752190676480898,0.0,246
Visita a praia do Castelinho,2024-11-09T21:35:07Z,6,1,0,Entertainment,0:00:51,273rg4QXFrU,2024-11-14T00:00:00Z,0.16666666666666666,0.0,247
Determined Boy Builds a Tunnel in the Mountains ⛰️👷‍♂️,2024-11-09T17:00:39Z,8932,338,11,Entertainment,0:00:20,h2T172ORnOw,2024-11-14T00:00:00Z,0.037841468875951634,0.03254437869822485,247
"MEGA BABiES CARTOONS!!  Smart Baby Adley, Super Niko, & Freeze Navey save the day! New Magic Puffs",2024-11-09T16:00:07Z,9819266,5240,179,Entertainment,0:06:21,VrXyDaLAP20,2024-11-14T00:00:00Z,0.0005336447754852552,0.03416030534351145,247
Tom 🍓 Jerry (Ammu&Nandhu)Real End Twist😍🎈 #shorts #viral #v5familyshow,2024-11-09T13:33:25Z,167426706,2550177,2006,Entertainment,0:01:00,yUH_B98TZzI,2024-11-14T00:00:00Z,0.01523160229885906,0.0007866120665349896,247
Watch Kayla swim along with a Momma Tsintaosaurus! @DinoKids,2024-11-09T11:30:01Z,276141527,2932731,0,Entertainment,0:00:41,0b0MvsVsIEM,2024-11-14T00:00:00Z,0.010620391043176929,0.0,247
క్రిష్ రెండవ పెళ్లి | Director Krish married to a mother with an 11 years old son | Chitramalatelugu,2024-11-09T08:33:43Z,5043,6,1,Entertainment,0:01:53,05VEnL0Kxa4,2024-11-14T00:00:00Z,0.001189767995240928,0.16666666666666666,247
Do Bulls Hate The Color Red?,2024-11-08T19:38:35Z,160370273,3019469,6426,Entertainment,0:00:34,jEEwQotRuxo,2024-11-14T00:00:00Z,0.018828109122193737,0.002128188764315845,248
How Much Tape To Stop A Lamborghini?,2024-11-08T17:00:00Z,709848481,13771465,19436,Entertainment,0:00:15,pS-fFdvyHLE,2024-11-14T00:00:00Z,0.01940056979568292,0.0014113240675556304,248
¿Cuántos años tenían los actores cuando hicieron 'El Chavo del 8'? #chavodel8 #elchavo #chavoland,2024-11-08T16:00:25Z,5776094,146806,615,Entertainment,0:01:00,ZFIKM684rgY,2024-11-14T00:00:00Z,0.025416137618258984,0.004189202076209419,248
"As a dad, I've discovered the ultimate secret to household peace! (Part 2)",2024-11-08T13:48:00Z,288106462,6343603,12554,Entertainment,0:00:33,XyOuIHSu95I,2024-11-14T00:00:00Z,0.022018260041664735,0.001979001523266825,248
DOMINAR A MENTE: A CHAVE PARA VENCER NA VIDA E NO RINGUE 🧠🥊,2024-11-07T21:45:00Z,2,0,0,Entertainment,0:00:07,6wqUVXeCROg,2024-11-14T00:00:00Z,N/A,N/A,249
I Tested the World’s “Blackest” Paint,2024-11-07T15:50:00Z,10478491,303392,1353,Entertainment,0:00:40,Z2WaOeqtrAU,2024-11-14T00:00:00Z,0.028953787334454934,0.004459577048834511,249
A BOLSA DO FUTURO! COPERNI APRESENTA MODELO 3D IMPRESSO EM GEL NA DISNEYLAND PARIS 🌐✨,2024-11-07T15:00:57Z,46,0,0,Entertainment,0:00:15,naUzsB1CaFQ,2024-11-14T00:00:00Z,N/A,N/A,249
Mufasa: The Lion King | Coming Soon 🦁 | Disney Kids,2024-11-07T15:00:25Z,765434,19925,0,Entertainment,0:00:31,F2dI1XNpfPQ,2024-11-14T00:00:00Z,0.026030983729492026,0.0,249
Oliver Opened His Own Police,2024-11-07T12:15:06Z,76999065,166322,N/A,Entertainment,0:43:08,ysB3qOkasLQ,2024-11-14T00:00:00Z,N/A,N/A,249
Can Sisu Stay Hidden? 🤫🌊 | Raya And The Last Dragon  | Disney Kids,2024-11-07T10:00:53Z,855744,28675,0,Entertainment,0:00:58,lWMTcSl8QP4,2024-11-14T00:00:00Z,0.03350885311495026,0.0,249
Effortless Peanut Peeling with a Magic Gadget! 🥜✨,2024-11-06T17:00:37Z,4991,50,2,Entertainment,0:00:20,ZPDJKl40W68,2024-11-14T00:00:00Z,0.010018032458425166,0.04,250
ADLEY found BABY PUFFS!!  Family Roblox with Crazy Babies and Navey is the Mom & Princess Hamsters,2024-11-06T16:00:06Z,1811918,3158,283,Entertainment,0:33:26,4rtPBlk9rjs,2024-11-14T00:00:00Z,0.0017429044802248226,0.0896136795440152,250
Is Now the Time to Invest in Vacation Rentals? Insights from Real Estate Pros | PART 1,2024-11-06T15:12:49Z,22,0,0,Entertainment,0:14:13,PpyjRVVrTgg,2024-11-14T00:00:00Z,N/A,N/A,250
How Trump won in a divided America and what's next? | Fault Lines Documentary,2024-11-13T16:30:02Z,279321,2849,1025,NewsPolitics,0:24:53,7jty5PGLsqI,2024-11-14T00:00:00Z,0.010199734355812846,0.3597753597753598,243
A woman cleans the government bus | Tirunelveli | Sun News,2024-11-13T13:49:49Z,6434201,282698,2783,NewsPolitics,0:00:53,1gnllcRNDto,2024-11-14T00:00:00Z,0.043936768528058105,0.00984442762240978,243
Worried About the Election Result? Politics Change Constantly,2024-11-13T00:00:38Z,77659,4269,738,NewsPolitics,0:02:53,ziFqWpFClCU,2024-11-14T00:00:00Z,0.054971091566978714,0.17287420941672524,243
'Unprecedented': Judge Merchan 'made a mess' of Trump case,2024-11-12T23:00:39Z,858046,15950,3355,NewsPolitics,0:12:13,owcFxLqr35A,2024-11-14T00:00:00Z,0.0185887469902546,0.2103448275862069,244
Melania Trump declined Jill Biden meeting over Mar-a-Lago raid: report,2024-11-12T18:30:13Z,2087780,49257,9840,NewsPolitics,0:05:29,IJFtVm7Me64,2024-11-14T00:00:00Z,0.02359300309419575,0.19976856081369146,244
"Netanyahu might be disappointed in a Trump White House, says former Israeli official",2024-11-12T17:03:30Z,101937,617,602,NewsPolitics,0:10:41,T5p4bOtIwJo,2024-11-14T00:00:00Z,0.00605275807606659,0.9756888168557536,244
"What's driving 500,000+ people to self-deport from the U.S.?",2024-11-12T16:11:58Z,363488,5929,6550,NewsPolitics,0:22:01,NuyIMmLui3U,2024-11-14T00:00:00Z,0.01631140505326173,1.1047394164277282,244
The kush healer chaining up people suffering from drug addiction in Sierra Leone #kush #drugs,2024-11-12T14:01:08Z,1216647,29904,456,NewsPolitics,0:01:00,wbwiYrJCLc0,2024-11-14T00:00:00Z,0.024579027441813443,0.015248796147672551,244
I just met a social worker.,2024-11-12T05:17:29Z,536,14,3,NewsPolitics,0:01:00,gOykY2LzLjg,2024-11-14T00:00:00Z,0.026119402985074626,0.21428571428571427,244
Mafias alientan a pedir asilo en Alemania con promesas falsas a migrantes latinoamericanos,2024-11-11T22:30:11Z,204659,394,62,NewsPolitics,0:09:42,ndRknIZQMcY,2024-11-14T00:00:00Z,0.0019251535480970786,0.15736040609137056,245
¡Turquía Aplasta a Rusia y la Expulsa de Crimea!,2024-11-10T22:53:17Z,89825,3765,200,NewsPolitics,0:39:19,vLsYOxfHB9w,2024-11-14T00:00:00Z,0.04191483440022266,0.05312084993359894,246
Trump's deportation plan will be a 'cost savings' for Americans: Ex-ICE director,2024-11-10T22:00:09Z,410295,12566,3013,NewsPolitics,0:07:01,KGCE7i_OT-Q,2024-11-14T00:00:00Z,0.030626744171876333,0.23977399331529525,246
Bernie Sanders says Americans ‘have a right to be angry’: Full interview,2024-11-10T18:00:15Z,1733017,31521,11365,NewsPolitics,0:09:19,QVlum0tUsTs,2024-11-14T00:00:00Z,0.018188511711079578,0.36055328193902475,246
"Ted Danson on his new comedy series ""A Man on the Inside""",2024-11-10T15:12:50Z,121954,1692,118,NewsPolitics,0:07:52,ow-YDEf9Rpk,2024-11-14T00:00:00Z,0.013874083670892304,0.06973995271867613,246
"Tyrus: I wish this was a joke, but it's not",2024-11-10T02:00:01Z,3550955,68997,5262,NewsPolitics,0:19:03,ak5eGOZFeB8,2024-11-14T00:00:00Z,0.01943054755692483,0.07626418539936519,246
"50-plus bird calls, one OKC boy equals a social media sensation",2024-11-09T23:38:03Z,254045,5169,N/A,NewsPolitics,0:02:53,7Y-KJEfn0ag,2024-11-14T00:00:00Z,N/A,N/A,247
Fox News’ hosts crack up over 'The View's' Trump meltdown,2024-11-09T22:00:06Z,1587718,26477,3905,NewsPolitics,0:05:54,8iK0RLC8jlc,2024-11-14T00:00:00Z,0.016676135182696172,0.14748649771499792,247
Reportera Confronta a “Alito” Moreno - Las Mangas del Chaleco,2024-11-09T20:38:53Z,1217237,65410,2173,NewsPolitics,0:01:00,AfXuhCadfRw,2024-11-14T00:00:00Z,0.05373645395268136,0.033221219996942365,247
🔴 ÚLTIMA HORA: TRUMP ASEGURA SEGUIRÁ APOYANDO A UCRANIA | PENTÁGONO SE PREPARA NUEVO ESCENARIO,2024-11-09T05:31:02Z,8468,546,19,NewsPolitics,0:14:34,7YmyyXqDPaE,2024-11-14T00:00:00Z,0.06447803495512518,0.0347985347985348,247
🔴 DW Noticias del 08 de noviembre: Europa condena ataques a hinchas israelíes [Noticiero completo],2024-11-09T00:15:00Z,216541,3006,660,NewsPolitics,0:27:31,0v6kNk2pRWA,2024-11-14T00:00:00Z,0.013881897654485756,0.21956087824351297,247
"Tyrus torches 'The View' hosts over reaction to Trump win: 'Bitter, angry, entitled'",2024-11-08T23:00:53Z,1956104,33291,4090,NewsPolitics,0:06:10,w1-X9X54yU4,2024-11-14T00:00:00Z,0.017019033752806598,0.1228560271544862,248
Donald Trump's Win Is Part of a Global Trend of Incumbents Losing,2024-11-08T20:16:47Z,67862,2530,883,NewsPolitics,0:01:03,6fuQ2RIy8LM,2024-11-14T00:00:00Z,0.03728154195278654,0.34901185770750986,248
Inside the ‘most sophisticated’ drug lab in Canadian history | About That,2024-11-08T19:06:10Z,1135582,8706,N/A,NewsPolitics,0:10:32,rJSfgf3x9QA,2024-11-14T00:00:00Z,N/A,N/A,248
'MAGA-nanimous': This might be 'the best hope' for a Hunter Biden pardon,2024-11-08T18:30:28Z,220519,2696,659,NewsPolitics,0:03:31,hJpeaWfDSIY,2024-11-14T00:00:00Z,0.012225703907599798,0.24443620178041542,248
California’s shocking 2024 electoral map flip a ‘wakeup call for Democrats’,2024-11-08T14:45:02Z,950506,20656,6274,NewsPolitics,0:03:35,GJhkvkiUcGc,2024-11-14T00:00:00Z,0.021731582967387898,0.3037374128582494,248
Trump Is Facing a Losing Tariff War With China,2024-11-08T09:00:31Z,1112422,13760,5468,NewsPolitics,0:09:20,JB9jBpX1yx8,2024-11-14T00:00:00Z,0.012369406574123849,0.39738372093023255,248
Panorama Nicaragua: No descartan que Putin retire a poyo a Ortega para quedar bien con Trump,2024-11-07T20:51:56Z,7020,156,21,NewsPolitics,0:30:07,VlHdzO_0Meo,2024-11-14T00:00:00Z,0.022222222222222223,0.1346153846153846,249
"Donald Trump ‘acted like a man’, says Putin",2024-11-07T20:21:50Z,4730284,87499,16208,NewsPolitics,0:01:19,d4xTktY-lrw,2024-11-14T00:00:00Z,0.018497620861664964,0.18523640270174516,249
¿Realmente podría Trump deportar a un millón de migrantes indocumentados tal y como propone?,2024-11-07T17:51:37Z,427544,5546,1704,NewsPolitics,0:05:38,VWp0g87LVJg,2024-11-14T00:00:00Z,0.012971764309638307,0.30724846736386585,249
Decoy: The Covert Trap to Catch a Killer | ITV News,2024-11-07T14:12:48Z,292219,3434,485,NewsPolitics,0:59:54,XzyWhYdDfDg,2024-11-14T00:00:00Z,0.01175146037731975,0.14123471170646476,249
🔴 ÚLTIMA HORA: NETANYAHU ALERTA a TRUMP por IRÁN | ZELENSKY HABLA CON PRESIDENTE ELECTO en EU,2024-11-07T05:49:20Z,4978,238,11,NewsPolitics,0:10:00,4VY7tYNmSdI,2024-11-14T00:00:00Z,0.047810365608678185,0.046218487394957986,249
Gutfeld: This was a blowout,2024-11-07T04:30:15Z,1703307,47043,4183,NewsPolitics,0:14:08,eTtbnO_DHP8,2024-11-14T00:00:00Z,0.027618626589334748,0.08891864889569118,249
Maddow: Trump win 'gives us a really big to-do list' to defend democracy,2024-11-07T01:35:21Z,706827,23607,15208,NewsPolitics,0:12:13,NCna8cLHgMI,2024-11-14T00:00:00Z,0.03339855438459482,0.6442156987334265,249
'The Five' reacts to Trump's historic political comeback,2024-11-06T23:45:01Z,1900148,38279,5959,NewsPolitics,0:13:02,hWvMWHPwcOA,2024-11-14T00:00:00Z,0.020145272894532426,0.15567282321899736,250
The exact moment Trump won the election | About That,2024-11-06T23:38:27Z,4640830,54557,N/A,NewsPolitics,0:08:50,woCTR--uvFM,2024-11-14T00:00:00Z,N/A,N/A,250
Donald Trump regresa a la Casa Blanca Edicion Digital 6 de noviembre de 2024,2024-11-06T17:32:58Z,148131,1445,398,NewsPolitics,0:30:31,lEo7N1lS-r4,2024-11-14T00:00:00Z,0.00975487912725898,0.2754325259515571,250
"The Three Historians: Niall Ferguson, Victor Davis Hanson, and Andrew Roberts | Uncommon Knowledge",2024-11-06T17:27:17Z,1159444,18995,266,NewsPolitics,0:59:23,9PrzDICJ4Kk,2024-11-14T00:00:00Z,0.016382852470666974,0.014003685180310609,250
